"If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent", "If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent"
"Ban", "Ban"
"Lift Ban", "Lift Ban"
"Is Banned from Write Review", "Is Banned from Write Review"
"Prevent this Customer from Posting Reviews", "Prevent this Customer from Posting Reviews"
"What do?", "What do?"
"No", "Nicht"
"Yes", "Ja"
"Video of Review", "Video Bewertung"
"Sizing", "Dimensionierung"
"Video", "Video"
"Body Type", "Körper-Typ"
"Location", "Stelle"
"Image", "Bild"
"Age", "Alter"
"Height", "Höhe"
"Good Review", "Gute bewertung"
"No Good Review", "Keine gute Kritik"
"Response", "Response"
"Prevent this Author from Posting Reviews", "Prevent this Author from Posting Reviews"
"For how long Author’s IP should be banned.", "For how long Author’s IP should be banned."
"30 Days", "30 Days"
"90 Days", "90 Days"
"180 Days", "180 Days"
"360 Days", "360 Days"
"Permanently", "Permanently"
"Customer Name", "Name des Kunden"
"Number of Reviews", "Anzahl der Bewertungen"
"Product Name", "Produktname"
"Avg. Rating", "Durchschnittliche Bewertung"
"This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?", "This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?"
"Verified Buyers", "Überprüft Käufer"
"Reviews with Images", "Bewertungen mit Bildern"
"Reviews with Video", "Bewertungen mit Video"
"Administration Response", "Verwaltung Reaktionszeit"
"Highest Contributors", "Höchste Anbieter"
"Last Week", "Letzte Woche"
"Last 4 Weeks", "Letzten 4 Wochen"
"Last 6 Months", "Letzte 6 Monate"
"All Reviews", "Alle Bewertungen"
"Please select item(s)", "Bitte wählen Sie Artikel"
"Total of %d record(s) were successfully saved", "Total of %d record(s) were successfully saved"
"Detailed Review plugin has been completely uninstalled.", "Detailed Review plugin has been completely uninstalled."
"There was a problem with uninstalling: %s", "There was a problem with uninstalling: %s"
"There was a problem with uninstalling.", "There was a problem with uninstalling."
"Reviews Statistics", "Reviews Statistics"
"Your vote has been added successfully.", "Your vote has been added successfully."
"Unable to add your vote.", "Unable to add your vote."
"Please, Fill Email and Password", "Please, Fill Email and Password"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.", "Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Invalid customer data", "Invalid customer data"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.", "There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Cannot save the customer.", "Cannot save the customer."
"Unknown extension!", "Unknown extension!"
"You have exceeded the size limit!", "You have exceeded the size limit!"
"Copy unsuccessfull!", "Copy unsuccessfull!"
"Unable to post the review.", "Unable to post the review."
"Your review has been accepted for moderation.", "Your review has been accepted for moderation."
"About You Section", "About You Section"
"Pros and Cons Details", "Pros and Cons Details"
"Magento Chart", "Magento Chart"
"Line Chart", "Line Chart"
"Column Chart", "Column Chart"
"Area Chart", "Area Chart"
"No Slider", "No Slider"
"Swing", "Swing"
"Guest can't vote", "Gäste können nicht abstimmen"
"Review Id can't be empty", "Review Id can't be empty"
"Customer can't vote twise", "Kunde kann nicht zweimal abstimmen"
"It can be 0 or 1", "Es kann 0 oder 1"
"runs small", "runs small"
"snug", "snug"
"little bit tight", "little bit tight"
"true to size", "true to size"
"little bit loose", "little bit loose"
"roomy", "roomy"
"runs large", "runs large"
"Date - Newest First", "Datum - Neuestes Zuerst"
"Date - Latest First", "Datum - Letzte Erste"
"Highest Rated", "Höchsten Bewertet"
"Lowest Rated", "Niedrigsten Bewertet"
"Most Helpful", "Sehr Hilfreich"
"Ownership", "Eigentum"
"more than "," mehr als "
