" for more information or email us at ","für mehr Informationen oder senden Sie eine E-Mail."
"# of Items (and above)","Anzahl der Artikel (und darüber)"
"# of Items vs. Destination","Anzahl der Artikel gg. Ziel"
"Allow Shipping to multiple addresses","Versand an mehrere Adressen erlauben"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Carrier:","Versender:"
"City","Ort"
"Close Window","Fenster schließen"
"Condition","Kondition"
"Country","Land"
"Date","Datum"
"Delivered on:","Zugestellt am:"
"Delivered to:","Zugestellt bei:"
"Description","Beschreibung"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")"
"Enabled","Aktiviert"
"Error:","Fehler:"
"Export","Export"
"Fixed","Festwert"
"Flat Rate","Festkosten"
"Free Shipping","Versandkostenfrei"
"Handling Fee","Bearbeitungsgebühr"
"Import","Import"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","Ungültig %s ""%s"" in Zeile Nr. %s"
"Invalid Country ""%s"" in the Row #%s","Ungültiges Land ""%s"" in Zeile Nr. %s"
"Invalid Region/State ""%s"" in the Row #%s","Ungültige Region ""%s"" in Zeile Nr. %s"
"Invalid Shipping Price ""%s"" in the Row #%s","Ungültige Versandkosten ""%s"" in Zeile Nr. %s"
"Invalid Table Rate code for type %s: %s","Ungültiger Table Rate Code für Typ %s: %s"
"Invalid Table Rate code type: %s","Ungültiger Table Rate Code: %s"
"Invalid Table Rates File Format","Ungültiges Dateiformat für Table Rates"
"Local Time","Lokalzeit"
"Location","Ort"
"Maximum qty allowed for Shipping to multiple addresses","Höchstbestellmenge für den Versand an mehrere Adressen"
"Method name","Name der Versandart"
"Minimum order amount","Mindestbestellmenge"
"N/A","Keine Angabe"
"None","Nichts"
"Options","Optionen"
"Order Subtotal (and above)","Zwischensumme (und mehr)"
"Origin","Herkunft"
"Per Order","Pro Bestellung"
"Per Package","Pro Paket"
"Percent","Prozent"
"Price","Preis"
"Price vs. Destination","Preis gg. Ziel"
"Region/State","Region / Bundesland"
"Service Type:","Servicetyp:"
"Ship to Specific countries","Versand in bestimmte Länder"
"Ship to applicable countries","Versand in passende Länder"
"Shipment #","Versand Nr."
"Shipped or billed on:","Versandt oder berechnet an:"
"Shipping Methods","Versandarten"
"Shipping Methods Section","Versandarten"
"Shipping Settings","Versandeinstellungen"
"Shipping Settings Section","Versandeinstellungen"
"Show method if not applicable","Versandart zeigen, auch wenn nicht möglich"
"Signed by:","Unterschrieben von:"
"Sort order","Reihenfolge"
"Status:","Status:"
"Store Pickup","Selbstabholung"
"Table rates","Table Rates"
"The shipping module is not available for selected delivery country","Das Versandmodul ist für den gewählten Bestimmungsort nicht verfügbar"
"There is no tracking available for this shipment.","Für diesen Versand ist keine Sendungsverfolgung möglich."
"There is no tracking available.","Für diesen Versand ist keine Sendungsverfolgung möglich."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Diese Versandart ist momentan nicht verfügbar. Wenn Sie dennoch diese Versandart wünschen, wenden Sie sich bitte direkt an uns."
"Title","Titel"
"Track:","Verfolgung:"
"Tracking Number:","Sendungsverfolgungs-Nummer:"
"Tracking information is currently not available. Please ","Für diesen Versand ist momentan keine Sendungsverfolgung möglich."
"Tracking information is currently unavailable.","Versand-Trackinginformation ist momentan nicht verfügbar."
"Type","Typ"
"Weight (and above)","Gewicht (und darüber)"
"Weight vs. Destination","Gewicht gg. Ziel"
"Weight:","Gewicht"
"ZIP/Postal Code","Postleitzahl"
"contact us","Kontaktieren Sie uns"
"A-line Wedding Dresses","Brautkleider in A-Linie"
"A line Wedding Dresses","Brautkleider in A-Linie"
"A-line Wedding Dress","Brautkleider in A-Linie"
"A line Wedding Dress","Brautkleider in A-Linie"
"Mermaid/Trumpet Wedding Dresses","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dresses","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dress","Brautkleider im Meerjungfrauen-Stil"
"Mermaid/Trumpet Wedding Dress","Brautkleider im Meerjungfrauen-Stil"
"Sheath/Column Wedding Dresses","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dresses","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dress","Gerade geschnittene Brautkleider"
"Sheath/Column Wedding Dress","Gerade geschnittene Brautkleider"
"Ball Gown Wedding Dresses","Brautkleider in Duchesse-Linie"
"Ball Gown Wedding Dress","Brautkleider in Duchesse-Linie"
"Princess Wedding Dresses","Brautkleider im Prinzessin-Stil"
"Princess Wedding Dress","Brautkleider im Prinzessin-Stil"
"Plus Size Wedding Dresses","Brautkleider in Übergrößen"
"Plus Size Wedding Dress","Brautkleider in Übergrößen"
"Empire Wedding Dresses","Brautkleider im Empire-Stil"
"Empire Wedding Dress","Brautkleider im Empire-Stil"
"Modest Wedding Dresses","Bescheidenen Brautkleider"
"Modest Wedding Dress","Bescheidenen Brautkleider"
"Maternity Wedding Dresses","Brautkleider für Schwangere"
"Maternity Wedding Dress","Brautkleider für Schwangere"
"Short Wedding Dresses","Kurze Brautkleider"
"Short Wedding Dress","Kurze Brautkleider"
"Beach Wedding Dresses","Strand Brautkleider"
"Beach Wedding Dress","Strand Brautkleider"
"Wedding Dresses","Brautkleider"
"Wedding Dress","Hochzeitskleid"
"Junior Bridesmaid Dresses","Junior Brautjungfernkleider"
"Junior Bridesmaid Dress","Junior Brautjungfernkleider"
"Maternity Bridesmaid Dresses","Brautjungferkleider für Schwangere"
"Maternity Bridesmaid Dress","Brautjungferkleider für Schwangere"
"Bridesmaid Dresses","Brautjungfernkleider"
"Bridesmaid Dress","Brautjungfernkleider"
"Flower Girl Dresses","Blumenmädchenkleider"
"Flower Girl Dress","Blumenmädchenkleider"
