"Allow Everything","Allow Everything"
"Filter Properties","Filter Properties"
"Display Type","Display Type"
"Labels Only","Labels Only"
"Images Only","Images Only"
"Images and Labels","Images and Labels"
"Drop-down List","Drop-down List"
"Labels in 2 columns","Labels in 2 columns"
"Folded by Default","Folded by Default"
"Do not show quantities","Do not show quantities"
"Sort Options By","Sort Options By"
"Position","Position"
"Name","Name"
"Product Quatities","Product Quatities"
"ID","ID"
"Title","Title"
"General","General"
"Options","Options"
"Edit Filter Properties","Edit Filter Properties"
"Attribute","Attribute"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Manage Filters","Manage Filters"
"Load","Load"
"On Page Description","On Page Description"
"Show Description","Show Description"
"Description","Description"
"Meta Tags","Meta Tags"
"Title Tag","Title Tag"
"Meta-Description Tag","Meta-Description Tag"
"Images","Images"
"Small Image","Small Image"
"Remove Small Image","Remove Small Image"
"Main Image","Main Image"
"Remove Main Image","Remove Main Image"
"Option Properties","Option Properties"
"Filters","Filters"
"Filters and their options have been loaded","Filters and their options have been loaded"
"Filter does not exist","Filter does not exist"
"Filter properties have been successfully saved","Filter properties have been successfully saved"
"Unable to find a filter to save","Unable to find a filter to save"
"Please select filter(s)","Please select filter(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Option does not exist","Option does not exist"
"Unable to find an option to save","Unable to find an option to save"
"Option properties have been successfully saved","Option properties have been successfully saved"
"Improved Layered Navigation","Improved Layered Navigation"
"Settings","Settings"
"Enabled","Enabled"
"All","All"
"Please Select","Please Select"

"Clear All","Borrar Todos"
"Shop By","Comprar Por"
"Back Style","Detalles de Espalda"
"Zipper","Cremallera"
"Lace Up","Cordón"
"Backless","Escotado por Detrás"
"Other","Otro"
"Body Shape","Forma del Cuerpo"
"Plus Sizes","Tamaños Plus"
"Maternity","Maternidad"
"Petite","Tallas Pequeñas"
"Misses","Falta"
"Apple","Manzana"
"Hourglass","Reloj de Arena"
"Inverted Triangle","Triángulo Invertido"
"Pear","Pera"
"Rectangle","Cuadrado"
"Embellishment","Adorno"
"Beading","Abalorio"
"Ruffles","Volantes"
"Hand-Made Flower","Flores"
"Hand-made Flower","Flores"
"Embroidery","Bordado"
"Applique","Apliques"
"Sequin","Con Lentejuelas"
"Bowknot","Lazos"
"Crystal","Cristal Detallando"
"Sash/Ribbon/Belt","Fajas/Cintas"
"Lace","Encaje"
"Rhinestone","Diamante de Imitación"
"Ruched","Volante"
"Paillette","Lentejuela"
"Layers","Capas"
"Pleats","Cinta"
"Acrylic Jewels","Joyas Acrílico"
"Diamond","Diamante"
