"If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent", "If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent"
"Ban", "Ban"
"Lift Ban", "Lift Ban"
"Is Banned from Write Review", "Is Banned from Write Review"
"Prevent this Customer from Posting Reviews", "Prevent this Customer from Posting Reviews"
"What do?", "What do?"
"No", "No"
"Yes", "Sí"
"no", "no"
"yes", "sí"
"Video of Review", "Vídeo de la revisión"
"Sizing", "Apresto"
"Video", "Vídeo"
"Body Type", "Tipo de cuerpo"
"Location", "Ubicación"
"Image", "Imagen"
"Age", "Edad"
"Height", "Altura"
"Good Review", "Buen comentario"
"No Good Review", "Ninguna buena opinión"
"Response", "Respuesta"
"Prevent this Author from Posting Reviews", "Prevent this Author from Posting Reviews"
"For how long Author’s IP should be banned.", "For how long Author’s IP should be banned."
"30 Days", "30 Days"
"90 Days", "90 Days"
"180 Days", "180 Days"
"360 Days", "360 Days"
"Permanently", "Permanently"
"Customer Name", "Nombre del cliente"
"Number of Reviews", "Número de comentarios"
"Product Name", "Nombre del producto"
"Avg. Rating", "Puntuación promedio"
"This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?", "This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?"
"Verified Buyers", "Los compradores verificados"
"Reviews with Images", "Opiniones con imágenes"
"Reviews with Video", "Opiniones con Video"
"Administration Response", "Respuesta de la Administración"
"Highest Contributors", "Mayor Colaboradores"
"Last Week", "Última semana"
"Last 4 Weeks", "Últimas 4 semanas"
"Last 6 Months", "Los últimos 6 meses"
"All Reviews", "Todas las opiniones"
"Please select item(s)", "Por favor seleccione artículos"
"Total of %d record(s) were successfully saved", "Total de %d registros fueron salvados con éxito"
"Detailed Review plugin has been completely uninstalled.", "Detailed Review plugin has been completely uninstalled."
"There was a problem with uninstalling: %s", "There was a problem with uninstalling: %s"
"There was a problem with uninstalling.", "There was a problem with uninstalling."
"Reviews Statistics", "Reviews Statistics"
"Your vote has been added successfully.", "Su voto ha sido agregado con éxito."
"Unable to add your vote.", "No se puede agregar tu voto."
"Please, Fill Email and Password", "Por favor, rellene correo electrónico y contraseña"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.", "Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Invalid customer data", "Invalid customer data"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.", "There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Cannot save the customer.", "Cannot save the customer."
"Unknown extension!", "Unknown extension!"
"You have exceeded the size limit!", "Se ha superado el límite de tamaño!"
"Copy unsuccessfull!", "Copy unsuccessfull!"
"Unable to post the review.", "Unable to post the review."
"Your review has been accepted for moderation.", "Tu comentario ha sido aceptado para su moderación."
"About You Section", "About You Section"
"Pros and Cons Details", "Pros and Cons Details"
"Magento Chart", "Magento Chart"
"Line Chart", "Line Chart"
"Column Chart", "Column Chart"
"Area Chart", "Area Chart"
"No Slider", "No Slider"
"Swing", "Swing"
"Guest can't vote", "Visitantes no puede votar"
"Review Id can't be empty", "Review Id can't be empty"
"Customer can't vote twise", "El cliente no puede votar dos veces"
"It can be 0 or 1", "Puede ser 0 o 1"
"runs small", "runs small"
"snug", "snug"
"little bit tight", "little bit tight"
"true to size", "true to size"
"little bit loose", "little bit loose"
"roomy", "roomy"
"runs large", "runs large"
"Date - Newest First", "Fecha - la más reciente primero"
"Date - Latest First", "Fecha - Apellido Primer"
"Highest Rated", "Mejor Calificados"
"Lowest Rated", "La Calificación más Baja"
"Most Helpful", "Más útil"
"Ownership", "Propiedad"
