"If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent", "If you choose 'Yes' for 'Use Parent Category Settings for Review Fields', this attribute will take value from parent"
"Ban", "Ban"
"Lift Ban", "Lift Ban"
"Is Banned from Write Review", "Is Banned from Write Review"
"Prevent this Customer from Posting Reviews", "Prevent this Customer from Posting Reviews"
"What do?", "What do?"
"No", "Não"
"Yes", "Sim"
"no", "não"
"yes", "sim"
"Video of Review", "Vídeo de revisão"
"Sizing", "Dimensionamento"
"Video", "Vídeo"
"Body Type", "Tipo de corpo"
"Location", "Localização"
"Image", "Imagem"
"Age", "Idade"
"Height", "Altura"
"Good Review", "Boa Revisão"
"No Good Review", "Nenhuma boa avaliação"
"Response", "Resposta"
"Prevent this Author from Posting Reviews", "Prevent this Author from Posting Reviews"
"For how long Author’s IP should be banned.", "For how long Author’s IP should be banned."
"30 Days", "30 Days"
"90 Days", "90 Days"
"180 Days", "180 Days"
"360 Days", "360 Days"
"Permanently", "Permanently"
"Customer Name", "Nome do cliente"
"Number of Reviews", "Número de comentários"
"Product Name", "Nome do Produto"
"Avg. Rating", "Classificação média"
"This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?", "This will completely uninstall Detailed Review plugin and delete all related information. Reviews will get back to original (standard) state. Are you sure?"
"Verified Buyers", "Compradores verificadas"
"Reviews with Images", "Comentários com imagens"
"Reviews with Video", "Comentários com Video"
"Administration Response", "Resposta da Administração"
"Highest Contributors", "Maiores contribuintes"
"Last Week", "Semana passada"
"Last 4 Weeks", "Últimas 4 semanas"
"Last 6 Months", "Últimos 6 meses"
"All Reviews", "Todos os Comentários"
"Please select item(s)", "Por favor, selecione os itens"
"Total of %d record(s) were successfully saved", "Total de %d registros foram salvos com sucesso"
"Detailed Review plugin has been completely uninstalled.", "Detailed Review plugin has been completely uninstalled."
"There was a problem with uninstalling: %s", "There was a problem with uninstalling: %s"
"There was a problem with uninstalling.", "There was a problem with uninstalling."
"Reviews Statistics", "Reviews Statistics"
"Your vote has been added successfully.", "Seu voto foi adicionado com sucesso."
"Unable to add your vote.", "Não é possível adicionar o seu voto."
"Please, Fill Email and Password", "Por favor, preencha e-mail e senha"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>.", "Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href="%s">click here</a>."
"Invalid customer data", "Invalid customer data"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.", "There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account."
"Cannot save the customer.", "Cannot save the customer."
"Unknown extension!", "Unknown extension!"
"You have exceeded the size limit!", "Você excedeu o limite de tamanho!"
"Copy unsuccessfull!", "Copy unsuccessfull!"
"Unable to post the review.", "Unable to post the review."
"Your review has been accepted for moderation.", "O seu comentário foi aceito pela moderação."
"About You Section", "About You Section"
"Pros and Cons Details", "Pros and Cons Details"
"Magento Chart", "Magento Chart"
"Line Chart", "Line Chart"
"Column Chart", "Column Chart"
"Area Chart", "Area Chart"
"No Slider", "No Slider"
"Swing", "Swing"
"Guest can't vote", "O hóspede não pode votar"
"Review Id can't be empty", "Review Id can't be empty"
"Customer can't vote twise", "Cliente não pode votar duas vezes"
"It can be 0 or 1", "Ele pode ser 0 ou 1"
"runs small", "runs small"
"snug", "snug"
"little bit tight", "little bit tight"
"true to size", "true to size"
"little bit loose", "little bit loose"
"roomy", "roomy"
"runs large", "runs large"
"Date - Newest First", "Data - mais recentes primeiro"
"Date - Latest First", "Data - Última Primeira"
"Highest Rated", "Mais Votados"
"Lowest Rated", "Menor Classificação"
"Most Helpful", "Mais úteis"
"Ownership", "Propriedade"
"more than ","mais do que "
