" and ","e"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Caminho absoluto ou relativo para o directório principal do Magento, ex. var/export)"
"(For US 2-letter state names)","(Para os EUA 2 letras para o nome do Estado)"
"(If left empty will be auto-generated)","(Se deixado em branco será auto-gerado)"
"(Leave empty for first spreadsheet)","(Deixe em branco para a primeira folha de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/actualizados a esta loja se a coluna 'loja' estiver em branco ou não existir no ficheiro a importar.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas os campos mapeados serão importados. Quando mapeado, use 'column1','column2',etc'"
"(You have to increase php memory_limit before changing this value)","(Necessita de aumentar o memory_limit do PHP antes de alterar este valor )"
"(\t for tab)","(\t para tab)"
"- Click on any of the time parts to increase it","- Clique sobre algumas das partes do tempo para aumentá-lo"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenha qualquer um dos botões do rato premido  para uma selecção mais rápida"
"- Use the %s buttons to select month","- Utilize os botões %s para seleccionar o mês"
"- Use the %s, %s buttons to select year","- Utilize o botões %s, %s para seleccionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuí-lo"
"- or click and drag for faster selection.","- ou clique e arraste para uma selecção mais rápida"
"API:","API:"
"About the calendar","Acerca do Calendário"
"Access Denied.","Acesso negado."
"Account Created in:","Conta criada em:"
"Account Created on (%s):","Conta criada em (%s)"
"Account Created on:","Conta criada a:"
"Action","Acção"
"Actions","Acções"
"Add","Adicionar"
"Add Contents Path","Adicionar Caminho de Conteúdos"
"Add Field with URL:","Adicionar campo com URL:"
"Add Maintainer","Adicionar Técnico de Manutenção"
"Add New Role","Adicionar novo acesso"
"Add New Template","Adicionar novo Template"
"Add New User","Adicionar utilizadores"
"Add PHP Extension dependency","Adicionar dependência de extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add Subpackage dependency","Adicionar dependência de Subpacote"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add new website map","Adicionar novo Mapa de Site"
"Address Type:","Tipo de Endereço"
"All","Todos"
"All Websites","Todos os Sites"
"All fields","Todos os campos"
"Archive file name:","Nome de ficheiro do arquivo:"
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip tags?","Tem a certeza que deseja remover o HTML das Etiquetas?"
"Attribute Set Name:","Nome grupo de Atributos"
"Attributes","Atributos"
"Available Products","Produtos disponiveís"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Facturação"
"Bundle Items","Pacote de Itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preços dinâmicos não pode conter opções personalizadas. As opções não serão salvas."
"CSV / Tab separated","Separação CSV / Tab"
"Card Verification Number","Número de verificação do cartão de crédito"
"Catalog","Catálogo"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Escolha vista de Loja"
"Client Session timeout (sec.)","Tempo de sessão do Cliente até expirar (seg.)"
"Close","Fechar"
"Comments History","Histórico de Comentários"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Ligar-se à comunidade Magento"
"Contents","Conteúdo"
"Country:","País:"
"Create New Staging Store View","Criar uma nova Vista de Loja experimental"
"Create a backup","Criar uma cópia de segurança"
"Created <strong>%s</strong> items","Criados <strong>%s</strong> itens"
"Credit Card Number","Número cartão crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo History","Histórico Nota de Crédito"
"Credit Memo Totals","Total da Nota de Crédito"
"Current Configuration Scope:","Espaço Actual de Configuração:"
"Current Release Information","Informação da Corrente Versão"
"Custom","Personalizado"
"Customer Group:","Grupo Cliente:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Selecção da Data/hora DHTML"
"Dashboard","Painel de Controlo"
"Data Format","Formato da Data"
"Data transfer:","Transfer&ecirc;ncia de dados:"
"Date selection:","Selecção data:"
"Date selector","Seleccionador de Data"
"Date:","Data:"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores por omissão (Admin)"
"Default Values","Valores por Omissão"
"Delete","Remover"
"Dependencies","Dependências"
"Description:","Descrição:"
"Direction:","Direcção:"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Done By:","Feito por:"
"Done by:","Feito por:"
"Download Remote File","Descarregar Ficheiro Remoto"
"Drag to move","Arraste para mover"
"Edit Role","Editar Acesso"
