"--Select--","--Seleccione--"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar Selecção"
"As low as","A partir de"
"Bundle Items","Pacote de Itens"
"Bundle Product","Pacote de Produtos"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto em cada"
"Checkbox","Caixa de selecção"
"Choose a selection...","Escolha uma selecção..."
"Close","Fechar"
"Default","Por Omissão"
"Default Qty","Qt. por omissão"
"Default Title","Título Omissão"
"Drop-down","Menu de selecção"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Imposto"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem do presente:"
"Incl. Tax","Incl. Imposto"
"Input Type","Tipo de Entrada"
"Is Required","É obrigatório"
"Message:","Mensagem:"
"Multiple Select","Selecção Múltipla"
"N/A","N/D"
"No options of this product are available.","Não existem opções disponíveis para este produto"
"None","NENHUMA"
"Percent","Percentagem"
"Percent Discount","Desconto Percentagem"
"Please enter search conditions to view products.","Por favor insira condições de pesquisa para visualizar produtos."
"Please select options for product.","Por favor seleccione as opções para o produto."
"Please select products to add","Seleccione os produtos a adicionar"
"Please specify product option(s)","Por favor especifique as opções do produto"
"Position","Posição"
"Price Range","Variação Preço"
"Price Type","Tipo Preço"
"Price as configured","Preço como definido"
"Qty:","Qtd:"
"Radio Buttons","Botões de selecção"
"Required options not selected.","Opções obrigatórias não seleccionadas"
"Selected required options not available.","Opções requeridas seleccionadas não disponíveis"
"Separately","Separadamente"
"Ship Bundle Items","Enviar pacote de itens"
"Shipment","Envio"
"Store View Title","Título da Vista de Loja"
"There is no defined renderer for ""%s"" option type","Não existe renderer especificado para a opção do tipo ""%s"""
"This product is also part of bundle(s)","Este produto também faz parte de um pacote(s)"
"To","Até"
"To:","Para:"
"Together","Juntos"
"User Defined Qty","Qtd definida pelo utilizador"
