"# of Use","# Usado"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Irá fazer com que uma  pesquisa  dos termos acima, retorne os resultados desta  pesquisa )"
"* Required Fields","* Campos obrigatórios"
"-- Please Select --","-- Por Favor Seleccione --"
"A name is required","Um nome é necessário"
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Acção"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar alteração ao Desenho"
"Add Group","Adicionar Grupo"
"Add Items to Cart","Adicionar itens ao Carrinho"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar novo atributo"
"Add New Attribute Set","Adicionar novo grupo de atributos"
"Add New Group","Adicionar novo grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar Novo Registo"
"Add New Search Term","Adicionar Termo de Pesquisa"
"Add New Set","Adicionar novo grupo"
"Add Option","Adicionar opção"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto a Sites"
"Add Root Category","Adicionar Categoria Mãe"
"Add Subcategory","Adicionar subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar desconto quantidade"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to My Wishlist","Adicionar à minha Lista de Presentes"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Additional Information","Informação Adicional"
"All","Todos"
"All Product Types","Todos os Tipos de Produtos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos deste grupo serão removidos! Tem a certeza que deseja remover este grupo de atributos?"
"Allow HTML-tags on Front-end","Permitir tags HTML no frontend"
"Allowed File Extensions","Extensões de ficheiros permitidas"
"Allowed file extensions to upload","Extensões de ficheiros permitidas para Carregamento"
"Amount","Quantidade"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar a Configurável/Grupo de produtos"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem a certeza que deseja remover esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem a certeza que deseja remover todos os produtos para comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem a certeza que deseja remover este item da sua lista de comparação?"
"Are you sure?","Tem a certeza?"
"As low as:","A partir de:"
"Assign","Associar"
"Assign product link","Associar link do produto"
"Assign product to category","Associar produto a categoria"
"Assigned Products","Produtos Associados"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome Grupo Atrib."
"Attribute Code","Código de Atributo"
"Attribute Information","Informação do atributo"
"Attribute Label","Rótulo do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute Name:","Nome do Atributo:"
"Attribute Properties","Propriedades do Atributo"
"Attribute Set","Grupo de Atributos"
"Attribute group with the ""/name/"" name already exists","Já existe um Grupo de Atributos com o nome ""/name/"""
"Attribute model not defined","Modelo de Atributo não definido"
"Attribute with the same code already exists","Já existe um atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributos podem ser especificados por loja."
"Autogenerate","Gerar automaticamente"
"Availability","Disponibilidade"
"Availability: In stock.","Disponibilidade: Disponível"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Backend Model","Modelo Administrativo"
"Backend Table","Tabela administrativa"
"Backend Table Title","Título da Tabela Administrativa"
"Backorders","Encomendas em produção"
"Base directory to upload image file is not specified","O directório base para o carregamento de imagens não está especificado"
"Based On","Baseado em"
"Best Value","Melhor valor"
"Block after Info Column","Bloco após a Coluna Info"
"Bottom/Left","Inferior/esquerdo"
"Bottom/Right","Inferior/direito"
"Browse By","Navegar Por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incl. imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Can be used only with catalog input type Dropdown","Apenas pode ser usado com o tipo de entrada Menu de Selecção no Catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Apenas pode ser usado com o tipo de entrada Menu de Selecção no Catálogo, Select múltiplo e Preço"
"Can't create image.","Não foi possível criar a imagem"
"Cannot create writeable directory '%s'","Não foi possível criar o directório com permissões de escrita '%s'"
"Cart Item Attribute","Atributo item carrinho"
"Catalog","Catálogo"
"Catalog Input Type for Store Owner","Tipo de entrada para Dono da Loja"
"Catalog Price Scope","Objectivo do Preço Catálogo"
"Catalog Section","Secção de Catálogo"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Categories Sitemap","Mapa do Sítio das Categorias"
"Category","Categoria"
"Category API","API Categoria"
"Category Data","Dados da Categoria"
"Category Navigation:","Navegação por Categorias:"
"Category Products","Produtos na Categoria"
"Category Top Navigation","Categoria de Todo de Navegação"
"Category URL Suffix","Sufixo URL da Categoria"
"Category attributes API","Atributos da categoria API"
"Category delete error","Erro ao remover categoria"
"Category deleted","Categoria removida"
"Category move error","Erro ao mover categoria"
"Category must be instance of Mage_Catalog_Model_Category","A categoria tem que ser uma instância de Mage_Catalog_Model_Category"
"Category saved","Categoria guardada"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo da vista de loja"
"Change status","Alterar Estado"
"Check items to add to the cart or","Seleccione os itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
