"Actions","Acções"
"Active","Activo"
"Add New Rule","Adicionar Nova Regra"
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regras de preço no catálogo"
"Catalog Price Rules","Regras de Preços no Catálogo"
"Category","Categoria"
"Comments History","Histórico de Comentários"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","Condições de Combinação"
"Credit Memos","Notas de Crédito"
"Customer Groups","Grupos de Clientes"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registado em: %s"
"Date Expire","Data Validade"
"Date From","Data início"
"Date Start","Data início"
"Date To","Data Fim"
"Delete Rule","Remover Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Expira em: %s"
"From Date","Data início"
"General Information","Informação geral"
"Gift Messages","Mensagens de Presente"
"ID","ID"
"Inactive","Inactivo"
"Invoices","Facturas"
"NOT LOGGED IN","Não está ligado"
"Name: %s","Nome: %s"
"New Rule","Nova regra"
"No","Não"
"Options","Opções"
"Order Credit Memos","Notas de Crédito da Encomenda"
"Order Gift Messages","Mensagens de Presente Encomenda"
"Order History","Histórico de encomendas"
"Order Invoices","Facturas Encomenda"
"Order Shipments","Envios Encomenda"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule was successfully deleted","Regra correctamente removida"
"Rule was successfully saved","A Regra foi correctamente guardada"
"Rules were successfully applied","As regras foram correctamente aplicadas"
"Save Rule","Guardar Regra"
"Save and Apply","Guardar e Aplicar"
"Shipments","Envios"
"Start at: %s","Iniciar em: %s"
"Status","Estado"
"Stop further rules processing","Parar processamento de regras"
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Existem regras que foram alteras mas não aplicadas. Por favor clique Aplicar Regras"" para ver reflectidas as alterações de imediato no catálogo"""
"This rule no longer exists","Esta regra já não existe"
"To Date","Data término"
"Unable to apply rules","Incapaz de aplicar regras"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
"Update product's %s %s: %s","Actualizar produtos %s %s: %s"
"Websites","Sites"
"Yes","Sim"
