"%s and greater","%s e superior"
"Advanced Search","Pesquisa avançada"
"All","Todos"
"Applies for ""Like"" Search type only","Aplica-se apenas para pesquisas do tipo ""Como (Like)"""
"Apply Layered Navigation if search results are less than","Aplicar Navegação por Atributos se os resultados da procura forem inferiores a"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Atributos alterados relacionados com o Índice de Pesquisa. Por favor corra o processo para <a href=""%s"">Reconstruir Índice de Procura</a>"
"Autogenerated site map","Mapa do síto gerado automaticamente"
"Catalog Advanced Search","Pesquisa avançada no catálogo"
"Catalog Search","Pesquisa no Catálogo"
"Don't see what you're looking for?","Não encontrou o que procurava?"
"Go","Ir"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grelha"
"Home","Página Inicial"
"List","Lista"
"Maximum Query Length","Cumprimento máximo da pesquisa"
"Maximum Query Words Count","Número máximo de palavras na pesquisa"
"Maximum Search query  length is %s. Your query was cut.","O Tamanho Máximo dos Termos de Pesquisa é %s. Os seus Termos de Pesquisa foram cortados."
"Minimal Query Length","Cumprimento mínimo de pesquisa"
"Modify your search","Modificar a sua pesquisa"
"No","Não"
"No items were found using the following search criteria.","Não foram encontrados resultados utilizando os critérios de pesquisa especificados"
"Please enter ""0"" to enable layered navigation for any number of results","Por favor insira ""0"" para activar a navegação por atributos para qualquer número de resultados"
"Popular Search Terms","Termos de pesquisa populares"
"Popular search terms","Termos de pesquisa populares"
"Relevance","Relevância"
"Required Fields","Campos obrigatórios"
"Results","Resultados"
"Search","Pesquisa"
"Search Settings","Opções de pesquisa "
"Search Site","Pesquisar no site"
"Search Terms","Termos de pesquisa "
"Search Type","Tipo de Pesquisa"
"Search entire store here...","Procurar em toda a Loja"
"Search results for '%s'","Resultados da pesquisa  por: '%s'"
"Search results for: '%s'","Resultados da pesquisa  para: '%s'"
"Subscribe to Feed","Subscrever o feed"
"There are no search terms available.","Não existem termos de pesquisa disponíveis"
"Yes","Sim"
"You have to specify at least one search term","Tem que especificar pelo menos um termo de pesquisa"
"Your search returns no results.","A sua pesquisa não retornou qualquer resultado"
"up to %s","até %s"
"<strong>%d item(s)</strong> were found using the following search criteria","Foram encontrados <strong>%d item(s)</strong> resultados utilizando os critérios de pesquisa especificados"
"Is product available for purchase with Google Checkout","Este produto está disponível para compra através do Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Termos de Pesquisa"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
