"%s was successfully added to your shopping cart.","%s Foi correctamente adicionado ao seu carrinho de compras"
"&laquo; Back to Billing Information","&laquo; Voltar à Informação de Facturação"
"&laquo; Back to Select Addresses","&laquo; Voltar para seleccionar Endereços"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao Carrinho de Compras"
"* Required Fields","* Campos obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova condição"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Address","Endereço"
"Address %s of %s","Endereços %s de %s"
"After adding a product redirect to shopping cart","Depois de adicionar um produto redireccionar para o caminho de compras"
"Allow Guest Checkout","Permitir encomendas por parte de utilizadores convidados"
"Already registered?","Já está registado?"
"An error occurred in the process of payment","Ocorreu um erro no processo de pagamento"
"Apply Coupon","Aplicar Cupão"
"Are you sure you would like to remove this item from the shopping cart?","Tem a certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Shipping Information","Voltar à Informação de Envio"
"Based on your selection, you may be interested in the following items:","Baseado na sua selecção, também poderá estar interessado num destes produtos"
"Billing Address","Endereço de Facturação"
"Billing Information","Informação de Facturação"
"Billing Information - %s","Informação de Facturação - %s"
"Can not add item to shopping cart","Não foi possível adicionar ao carrinho de compras"
"Can not apply coupon code.","Não é possível aplicar o cupão"
"Can't open overview page","Não é possível abrir a página de informações"
"Cancel Coupon","Cancelar cupão"
"Cannot remove item","Não é possível remover o Item"
"Cannot update shopping cart","Não foi possível actualizar o seu carrinho"
"Card Verification Number Visual Reference","Refer&ecirc;ncia Visual do Número de Verificação do Cartão"
"Cart Subtotal:","Sub-total Carrinho"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de facturação"
"Checkbox text","Texto caixa de selecção"
"Checkout","Finalizar Encomenda"
"Checkout Conditions","Condições de envio"
"Checkout Options","Opções Finalização Encomenda"
"Checkout Section","Secção de Finalização de Encomenda"
"Checkout Terms and Conditions","Condições e Termos de Envio"
"Checkout as Guest","Finalizar encomenda como convidado"
"Checkout as a Guest or Register","Finalizar encomenda como convidado ou registar-se"
"Checkout method","Método de Envio"
"Checkout with Multiple Addresses","Finalizar encomenda com múltiplos endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da confirmação da sua encomenda."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Condition was successfully deleted","Condição removida com sucesso"
"Condition was successfully saved","Condição correctamente guardada"
"Configurable product image","Imagem de produto configurável"
"Confirm Password","Confirme a Palavra-passe"
"Content","Conteúdo"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (CSS)"
"Continue","Continuar"
"Continue Shopping","Continuar compras"
"Continue to Billing Information","Continuar para informação de facturação"
"Continue to Review Your Order","Continuar para rever a sua encomenda"
"Continue to Shipping Information","Continuar para informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Código do Cupão ""%s"" inválido"
"Coupon code ""%s"" was applied successfully.","O Cupão com o código ""%s"" foi aplicado com sucesso"
"Coupon code was canceled successfully.","O cupão foi correctamente cancelado."
"Create Billing Address","Criar Endereço de Facturação"
"Create Shipping Address","Criar Endereço de Envio"
"Customer Address is not valid.","Endereço do Cliente inválido"
"Data saving problem","Problema ao guardar dados"
"Default Billing","Endereço de Facturação por omissão"
"Default Shipping","Endereço de Envio por omissão"
"Delete Condition","Remover Condição"
"Details","Detalhes"
"Disable Onepage Checkout","Desabilitar finalização de encomenda em apenas uma página"
"Disabled","Inactivo"
"Discount Codes","Códigos de desconto"
"Display Cart Summary","Mostrar Sumário Carrinho"
"Display Shopping Cart Sidebar","Mostrar Carrinho de Compras na barra lateral"
"Display item quantities","Mostrar Quantidades de Itens"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Easy access to your order history and status","Acesso rápido à sua encomenda e histórico"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Facturação"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar Endereço de Envio"
"Edit Terms and Conditions","Editar os Termos e Condições"
"Edit Your Cart","Editar o seu carrinho"
"Email Address","Endereço de Email"
"Enable Terms and Conditions","Activar Termos e Condições"
"Enabled","Activo"
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Insira o código do seu cupão se tem algum."
