"(eg: domain.com/identifier)","(ex. exemplo.com/identificador)"
"Action","Acção"
"Add New Block","Adicionar novo bloco"
"Add New Page","Adicionar página"
"All countries","Todos os países"
"Block Information","Informação do bloco"
"Block Title","Título do Bloco"
"Block was successfully deleted","Bloco removido correctamente"
"Block was successfully saved","O bloco foi correctamente guardado"
"CMS","CMS"
"CMS Home Page","Página Principal CMS"
"CMS No Route Page","CMS sem rota de página"
"Content","Conteúdo"
"Custom Design","Desenho Personalizado"
"Custom Theme","Tema Personalizado"
"Custom Theme From","Tema Personalizado de"
"Custom Theme To","Tema Personalizado Para"
"Customer Tax Class Information","Informação da Classe de Imposto do Clientes"
"Date Created","Data criação"
"Delete Block","Remover Bloco"
"Delete Page","Remover Página"
"Description","Descrição"
"Disabled","Inactivo"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enabled","Activo"
"General Information","Informação geral"
"Go to Home Page","Ir para a Página Inicial"
"Home","Página Inicial"
"Identifier","Identificador"
"Keywords","Palavras-chave"
"Last Modified","Última modificação"
"Layout","Apresentação"
"Layout Update XML","Actualização Layout XML"
"Manage Pages","Gestão de Páginas"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","Novo Bloco"
"New Page","Nova página"
"Page Identifier cannot consist only of numbers.","Identificador da página não pode ser apenas números"
"Page Identifier for specified store already exist.","Identificador de página para a Loja especificada já existe"
"Page Information","Informação da página"
"Page Status","Estado da Página"
"Page Title","Título da Página"
"Page was successfully deleted","A Página foi correctamente removida"
"Page was successfully saved","A Página foi correctamente guardada"
"Poll Manager","Gestão de Sondagens"
"Product Tax Class Information","Informação da classe de imposto do produto"
"SEF URL Identifier","Identificador SEF da URL"
"Save Block","Guardar Bloco"
"Save Page","Guardar Página"
"Show breadcrumbs for CMS pages","Mostrar menu de localização para as páginas CMS"
"Static Blocks","Blocos Estáticos"
"Status","Estado"
"Store View","Vista Loja"
"Such a block identifier in selected store already exist.","Já existe um bloco com o mesmo identificador nesta Loja."
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"This block no longer exists","Este bloco não existe"
"This page no longer exists","Esta página já não existe"
"Title","Título"
"Unable to find a block to delete","Incapaz de encontrar o bloco a remover"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
