"* Required Fields","* Campos obrigatórios"
"Comment","Comentar"
"Contact Form","Formulário de contacto"
"Contact Information","Informação de contacto"
"Contact Us","Contacte-nos"
"Contacts","Contactos"
"Contacts Section","Secção de Contactos"
"Email","Email"
"Email Options","Opções de Email"
"Email Sender","Remetente Email"
"Email Template","Template Email"
"Enable Contact Us","Permitir ao clientes entraram em contacto"
"Name","Nome"
"Send Emails To","Enviar Correio Electrónico Para"
"Submit","Submeter"
"Telephone","Telefone"
"Unable to submit your request. Please, try again later","Incapaz de submeter o seu pedido. Por favor tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Os dados foram enviados e obterá uma resposta assim que possível. Obrigado por entrar em contacto connosco."
"Contact Us","Contacte-nos"
"Contact Information","Contact Information"
"Name","Nome"
"Email","Email"
"Telephone","Telefone"
"Comment","Comment"
"* Required Fields","* Campos obrigatórios"
