"%s already exist","%s já existe"
"%s already exists","%s já existe"
"-- Please Select --","-- Por Favor Seleccione --"
"Add Block Names to Hints","Adicionar Nomes do Blocos às dicas"
"Add Secret Key to URLs","Adicionar chave secreta às URL's"
"Add Store Code to Urls","Adicionar Código Loja na URL"
"Admin","Admin"
"Admin Base URL","Url Base Admin"
"Admin User Emails","Emails dos utilizadores administrativos"
"Advanced","Avançado"
"Allow countries","Países Permitidos"
"Allowed IPs (comma separated)","IP permitidos (separe-os por vírgula)"
"Are you sure?","Tem a certeza?"
"Back","Voltar"
"Backup options","Opções de cópia de seguração"
"Base JavaScript URL","URL base de JavaScript"
"Base Link URL","URL ligação base"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","Url Base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de alterar o código da Vista de Loja, por favor confirme que este não está a ser utilizado em index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de alterar o código do Site, por favor confirme que este não está a ser utilizado em index.php"
"Block with name ""%s"" already exists","Já existe um bloco com o nome ""%s"""
"Blocks HTML output","Bloqueia a saída HTML"
"Can't retrieve request object","Não foi possível obter o objecto pedido"
"Can't retrieve entity config: %s","Não foi possível obter a entidade de configuração: %s"
"Cancel","Cancelar"
"Cannot Delete Email Template","Não é possível remover o Template de email"
"Cannot complete this operation from non-admin area.","Não é possível completar esta acção através de uma área não administrativa"
"Category object is required for determining product request path","A categoria do objecto é necessária para determinar o caminho do pedido do produto"
"Code","Código"
"Collections Data","Colecções de Informação"
"Configuration","Configuração"
"Controller file was loaded but class does not exist","O ficheiro do controlador foi carregado mas a classe não existe"
"Cookie Domain","Domínio da Cookie"
"Cookie Lifetime","Tempo de Vida da Cookie"
"Cookie Path","Path Cookie"
"Copyright","Direitos"
"Countries options","Opções países"
"Create Store","Criar Loja"
"Create Store View","Criar Vista Loja"
"Create Website","Criar Site"
"Current package name","Nome do pacote actual"
"Custom Design","Desenho Personalizado"
"Custom admin URL","URL de administração personalizada"
