"* Required Fields","* Campos obrigatórios"
"A new password was sent","Foi enviada uma nova palavra-passe"
"Account Dashboard","Sumário da Conta"
"Account Information","Informação da conta"
"Account Sharing Options","Opções de Partilha de Conta"
"Account information was successfully saved","A informação da conta foi guardada correctamente"
"Action","Acção"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar cliente"
"Add New Customer Group","Adicionar novo grupo de clientes"
"Added From","Adicionado de"
"Additional Address Entries","Registos adicionais"
"Address","Endereço"
"Address Book","Livro de Endereços"
"Address Information","Informação de endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Lojas"
"All countries","Todos os países"
"Always optional","Sempre opcional"
"Amount","Quantidade"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Tem a certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Tem a certeza que deseja cancelar a adição deste endereço?"
"Are you sure you want to delete this address?","Tem a certeza que deseja remover este endereço?"
"Are you sure?","Tem a certeza?"
"Array of Entity collections is expected","Lista de colecções de Entidades esperada"
"Assign a customer group","Definir um grupo de clientes"
"Average Sale","Média vendas"
"Back","Voltar"
"Back to Login","Voltar ao início de sessão"
"Bad request.","Pedido inválido"
"Bill to Name","Facturar para Nome"
"Billing Information","Informação de Facturação"
"Bought From","Comprado Em"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja conseguirá processar a sua encomenda de uma forma mais rápida, armazenar múltiplos endereços, visualizar e seguir o progresso das suas encomendas e mais."
"CSV","CSV"
"Can't save address","Não foi possível guardar o endereço"
"Can't save customer","Não foi possível guardar o cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Não é possível partilhar a conta. Já existe alguma conta de cliente com o mesmo email em múltiplos sites e não podem ser unidos"
"Cancel","Cancelar"
"Change Account Password","Alterar palavra-passe da conta"
"Change Billing Address","Alterar Endereço de facturação"
"Change Password","Alterar palavra-passe"
"Change Shipping Address","Alterar Endereço de Envio"
"City","Cidade"
"Company","Empresa"
"Config","Configurar"
"Confirm New Password","Confirme a nova palavra-passe"
"Confirm Password","Confirme a Palavra-passe"
"Confirmation Link Email","Email de confirmação"
"Confirmed","Confirmado"
"Contact Information","Informação de contacto"
"Continue Shopping","Continuar compras"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções de Criação de Nova Conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar encomenda"
"Create an Account","Criar uma nova conta"
"Create customer","Criar Cliente"
"Create customer address","Criar endereço ao cliente"
"Current Password","Palavra-passe actual"
"Customer","Cliente"
"Customer Addresses","Endereço do cliente"
"Customer Api","Api cliente"
"Customer Configuration","Configuração Cliente"
"Customer Group","Grupo do Cliente"
"Customer Group was successfully deleted","O Grupo de Clientes foi correctamente removido"
"Customer Group was successfully saved","Grupo de Clientes correctamente guardado"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informação do cliente"
"Customer Login","Inicio de Sessão para Clientes"
"Customer Since","Cliente desde"
"Customer View","Vista do cliente"
"Customer collection expected","Esperado uma colecção de cliente"
"Customer doesn't have primary billing address","O Cliente não tem um endereço de facturação primário"
"Customer email already exists","Já existe um cliente com o mesmo email que inseriu"
"Customer website id must be specified, when using website scope.","O id do site do cliente tem que ser especificado, quando utiliza o 'espaço sítio'"
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Secção de Clientes"
"DD","DD"
"Date","Data"
"Date Added","Data adicionado"
"Date of Birth","Data de nascimento"
