"-- Please select --","-- Por Favor Seleccione --"
"Allowed currencies","Moedas permitidas"
"Base currency","Moeda base"
"Cannot retrieve rate from %s","Não foi possível obter a taxa de %s"
"Connection timeout in seconds","Tempo de espera da ligação terminado"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country Api","Api País"
"Country and Format Type combination should be unique","A combinação entre o País e o Tipo de Formato devem ser únicos"
"Currency","Moeda"
"Currency Options","Opções moeda"
"Currency Setup","Configurar moeda"
"Currency Update Warnings","Alertas de Actualização de Moeda"
"Currency will be used for all online payment transactions","A moeda será utilizada para todas as transacções de pagamentos online"
"Default display currency","Mostrar moeda por omissão"
"Directory","Directório"
"Enabled","Activo"
"Error Email Recipient","Destinatário Email Erro"
"Error Email Sender","Remetente Email Erro"
"Error Email Template","Template Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service Specified","Serviço de importação especificado inválido"
"Invalid country code: %s","Código de País Inválido: %s"
"Invalid rates received","Taxas inválidas recebidas"
"Invalid target currency","Moeda especificada inválida"
"List of countries","Lista de Países"
"List of regions in specified country","Lista de regiões no país especificado"
"Region","Região"
"Region Api","API Região"
"Remove space from currency sign","Remova espaços do sinal da moeda"
"Scheduled Import Settings","Configurações de Importação Agendadas"
"Select Your Currency","Seleccione a sua moeda"
"Service","Serviço"
"Start Time","Data início"
"State/Province","Estado/Província"
"Strikeiron Email Update Warnings","Email de actualização de avisos Strikeiron"
"Unable to initialize import model","Incapaz de iniciar o modelo de importação"
"Undefined rate from ""%s-%s""","Taxa indefinida de ""%s-%s"""
"WARNING:","ATENÇÃO:"
"Webservicex","Webservicex"
"Your current currency is: %s","O directório actual é: %s"
