"Add New Row","Adicionar Novo Registo"
"An error occurred while saving the file(s).","Ocorreu um erro ao guardar o(s) ficheiro(s)"
"Availability: In stock.","Disponibilidade: Disponível"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Can't connect to remote host, error: %s","Não foi possível ligar-se ao servidor remoto, erro: %s"
"Canceled","Cancelado"
"Date","Data"
"Default Link Title","Título por omissão da ligação"
"Default Maximum Number of Downloads","Número Máximo de Descargas por Omissão"
"Default Sample Title","Título por defeito da amostra"
"Disable Guest Checkout if cart contains downloadable items","Desactivar Finalização de Encomenda para utilizadores não registados se o carrinho de compras contiver itens para descarga"
"Downloadable Information","Informação Descarregável"
"Downloadable Product","Produto Descarregável"
"Downloadable Product Options","Opções de Produto Descarregável"
"Downloadable product Section","Secção de Produtos Descarregáveis"
"Excl. Tax","Excl. Imposto"
"File","Ficheiro"
"File does not exists","O ficheiro não existe"
"From:","De:"
"Gift Message","Mensagem do presente:"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Os Meus Produtos Descarregáveis</a>"
"Guest checkout will only work with shareable","Finalização da encomenda para utilizadores não registados apenas funcionará para partilháveis"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host","Servidor de URL para descarga inválido"
"Invalid download URL scheme","Formato de URL para descarga inválido"
"Invalid download link type","Tipo de ligação para descarga inválido"
"Invoiced","Facturado"
"Link has expired.","A ligação expirou"
"Link is not available.","A ligação não se encontra disponível."
"Links can be purchased separately","Ligações podem ser adquiridas separadamente"
"Max. Downloads","Máx. Descargas"
"Message:","Mensagem:"
"My Downloadable Products","Os Meus Produtos Descarregáveis"
"Open Links in New Window","Abrir Ligações numa Nova Janela"
"Order #","Encomenda #"
"Order Item Status to enable Downloads","Estado do item da encomenda para activar downloads"
"Ordered","Encomendado"
"Pending","Pendente"
"Please log in to download your product.","Por favor inicie sessão para descarregar o seu produto."
"Please set resource file and link type","Por favor defina o ficheiro e o tipo de ligação"
"Please specify product link(s).","Por favor defina a(s) ligação(ões) do produto"
"Price","Preço"
"Refunded","Reembolsado"
"Remaining Downloads","Descargas Restantes"
"Remove item","Remover Item"
"Requested link doesn't exist.","O link pedido não existe"
"Sample","Amostra"
"Shareable","Partilhável"
"Shipped","Enviado"
"Sorry, the was an error getting requested content. Please contact store owner.","Pedimos desculpa, mas ocorreu um erro ao obter o conteúdo pedido. Por favor entre em contacto com os responsáveis da Loja."
"Sorry, there was an error getting requested content","Pedimos desculpa mas ocorreu um erro ao obter o conteúdo"
"Sorry, there was an error getting requested content. Please contact store owner.","Pedimos desculpa, mas ocorreu um erro ao obter o conteúdo pedido. Por favor entre em contacto com os responsáveis da Loja."
"Sort Order","Ordem Apresentação"
"Start Download","Iniciar Descarga"
"Status","Estado"
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Ver encomenda"
"You have not purchased any downloadable products yet.","Ainda não comprou produtos passíveis de serem descarregados"
"attachment","anexo"
"download","Descarregar"
"inline","no sítio"
"sample","amostra"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
