"Attempt to add an invalid object","Tentativa de adição de objecto inválido"
"Attribute '%s' used in configurable products.","Atributo '%s' utilizado em produtos configuráveis"
"Attribute set with the ""%s"" name already exists","Já existe uma grupo de atributos com o nome ""%s"""
"Attribute used in configurable products.","Atributo utilizado em produtos configuráveis"
"Attribute with the same code","Atributo como o mesmo código"
"Data integrity: No header row found for attribute","Integridade de dados: Não foi encontrado o cabeçalho para o atributo"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Ordenação padrão de listagem de produtos não existe na listagem de produtos disponíveis para ordenar"
"Default option value is not defined","Valor por omissão de opção não definido"
"EAV types and attributes","Tipos e Atributos EAV"
"Entity collection expected","Colecção de Entidades esperada"
"Entity collections expected","Colecções de Entidades esperada"
"Entity is not initialized","A entidade não foi iniciada"
"Failed to load node %s from config.","Falha ao carregar o nó %s da configuração."
"Frontend label is not defined","Rótulo da Interface do Utilizador não está definido"
"Invalid alias, already exists in joined attributes","Sinónimo inválido, já existe em atributos unidos"
"Invalid attribute name: %s","Nome de atributo inválido: %s"
"Invalid attribute requested: %s","Pedido de atributo inválido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Carácter inválido encontrado na ID de auto_incremento: %s"
"Invalid data object key","Chave de objecto inválida"
"Invalid entity specified","Entidade inválida especificada"
"Invalid entity supplied","Entidade indicada inválida"
"Invalid entity supplied: %s","Entidade inválida fornecida: %s"
"Invalid entity type","Tipo de entidade inválido"
"Invalid entity_id, skipping the record","entity_id inválida, ignorando os dados"
"Invalid entity_type specified: %s","entity_type inválida especificada: %s"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid joined fields","Joined fileds invalidos"
"Invalid store specified","Loja espeficiada inválida"
"Joined field or attribute expression with this alias is already declared","Campo joined ou expressão do atributo com este alias já está declarado"
"Joined field with this alias (%s) is already declared","Campos joined com este alias (%s) já declarado"
"Joined field with this alias is already declared","Já existe um campo de ligação com o mesmo sinónimo"
"Loaded %d records","%d registos carregados"
"No","Não"
"No options found in config node %s","Não foram encontradas opções no nó %s"
"Problem loading a record, aborting. Error: %s","Problema ao carregar dados, cancelando. Erro: %s"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a colecção, cancelando. Erro: %s"
"Problem saving a record, aborting. Error: ","Problema ao guardar os dados, abortar. Erro:"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Saved ","Guardado"
"Scope must not be changed, because the attribute is used in configurable products.","O espaço actual não pode ser alterado porque o atributo é utilizado em produtos conflagráveis."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","O código do atributo '%s' está reservado pelo sistema. Por favor tente novamente com um outro código."
"Unknown parameter","Parâmetro desconhecido"
"Valid store_id is expected!","Era esperado uma store_id válida"
"Value of attribute ""%s"" must be unique","O valor do atributo ""%s"" tem que ser único"
"Wrong attribute ID","ID de atributo errado"
"Wrong attribute group ID","ID de atributo de grupo inválida"
"Wrong attribute set ID","ID de atributo errado"
"Wrong entity ID","ID de entidade errada"
"Yes","Sim"
