"Account login","Nome de utilizador"
"Account password","Palavra-passe"
"Active","Activo"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar novo atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Tem a certeza?"
"Attribute","Atributo"
"Attribute Set","Grupo de Atributos"
"Attribute Set and Item Type","Grupo de Atributos e Tipo de item"
"Attributes","Atributos"
"Attributes Set","Grupo de Atributos"
"Attributes mapping","Mapeamento de Atributos"
"AuthSub","AuthSub"
"Available Products","Produtos disponiveís"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Não foi possível actualizar o oogle Base item para a Loja %s"
"Captcha confirmation error: %s","Erro de confirmação do captcha: %s"
"Captcha confirmed successfully","Captcha confirmado com sucesso"
"Clicks","Cliques"
"ClientLogin","Inicio de Sessão do Cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapeamento actual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado sem mapeamento"
"Default Store (%s)","Loja por omissão (%s)"
"Delete","Remover"
"Delete Mapping","Remover Mapeamento"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item ""%s"""
"Error: %s","Erro: %s"
"Euro","Euro"
"Expires","Expira"
"Germany","Alemanha"
"Google Base","Google base"
"Google Base Attribute","Atributo do Google Base"
"Google Base ID","Google Base ID"
"Google Base Item Type","Tipo de Item do Google Base"
"Google Base Item type","Tipo de Item do Google Base"
"Google Base Items","Itens do Google Base"
"Hide","ocultar"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Modelo de Produto inválido para o Item Google Base"
"Item Type was deleted","O tipo de Item foi removido"
"Item Types","Tipos de Itens"
"Item model is not specified to delete Google Base entry","O modelo do item não está especificado para remover o registo Google Base"
"Item type was successfully saved","Tipo de item guardado correctamente"
"Items","Itens"
"Manage Attribute Mapping","Gerir Mapeamento de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Items","Gerir Itens"
"New Item Type","Novo tipo de Item"
"No","Não"
"No items were deleted from Google Base","Não foram removidos itens do Google Base"
"No items were published","Não foram publicados itens"
"No items were saved as Inactive items","Não foram guardados itens como Itens Inactivos"
"No products were added to Google Base","Não foram adicionados produtos ao Google Base"
"Object model is not specified to save Google Base entry","Modelo de Objecto não está especificado para guardar o registo do Google Base"
"Page views","Visualizações"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, seleccione Grupo de Atributos e Tipo de Item do Google para carregar os atributos"
"Product Name","Nome do Produto"
"Publish","Publicar"
"Published","publicado"
"Remove","Remover"
"Save Mapping","Guardar Mapeamento"
"Synchronize","Sincronizar"
"Target Country","País de Destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta acção irá actualizar as estatísticas dos itens e remover os que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","Foram removidos %d item(ns) e %d foram actualizados"
"Total of %d items(s) were successfully published","%d Item(ns) foram correctamente publicados"
"Total of %d items(s) were successfully removed from Google Base","%d Item(ns) foram correctamente removidos do Google Base"
"Total of %d items(s) were successfully saved as Inactive items","%d Item(ns) foram guardados como Itens Inactivos"
"Total of %d product(s) were successfully added to Google Base","%d produto(s) foram adicionados ao Google Base"
"US Dollar","US Dollar"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Incapaz de se ligar ao Google Base. Por favor verifique as as opções da conta em configuração"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update Google Base item when product is updated","Actualizar o item no Google Base quando o produto for actualizado"
"View Available Products","Visualizar produtos disponíveis"
"View Item in Google Base","Visualizar item no Google Base"
"Yes","Sim"
