"* Select shipping method","* Seleccione o método de envio"
"AVS Status: %s","Estado AVS: %s"
"Add","Adicionar"
"Add Shipping Method","Adicionar Método de Envio"
"Allowed Methods","Métodos permitidos"
"Amount: %s","Valor: %s"
"Auto-generated from GoogleCheckout Charge","Gerado Automaticamente do GoogleCheckout Charge"
"Buyer account age: %s days","Tempo da conta de comprador: %s dias"
"CC Partial: xxxx-%s","CC Parcial: xxx-%s"
"CID Status: %s","Estado CID: %s"
"Carrier Calculated Methods","Métodos calculados pelo transportador"
"Cart Discount","Desconto carrinho"
"Checkout Image Style","Estilo da Imagem de finalização encomenda"
"Continue Shopping URL","URL de Continuar a comprar"
"Debug","Depuração"
"Default Package Height (in)","Altura por defeito da embalagem (in)"
"Default Package Length (in)","Comprimento por defeito da embalagem (in)"
"Default Package Width (in)","Largura por defeito da embalagem (in)"
"Default price for methods","Preço por omissão para os métodos"
"Default price:","Preço por omissão:"
"Delivery Address Category","Categoria de endereço de entrega"
"Delivery schedule","Horário de entrega"
"Disable Default Tax Tables","Desactivar Tabelas de Imposto por Defeito"
"Eligible for protection: %s","Protecção elegível para: %s"
"Enable","Activo"
"Enable Carrier Calculated","Activar cálculo efectuado pelo transportador"
"Enable Digital Delivery","Activar entrega digital"
"Enable Flat Rate","Activar Taxa Fixa"
"Enable Merchant Calculated","Activar cálculo pelo comerciante"
"Enable this if your checkout request is too big and being cut off.","Active se o seu processo de finalização é demasiado grande e está a ser recusado"
"Expiration: %s","Expiração: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"Free Shipping","Envio gratuito"
"Fulfillment: %s -> %s","Cumprimento: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorização Google:"
"Google Buyer Id: %s","ID Comprador Google: %s"
"Google Charge:","Cobrança Google:"
"Google Checkout","Finalizar Encomenda com o Google"
"Google Checkout Shipping - Carrier Calculated","Finalizar Encomenda Google - Transporte"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Envio Finalização encomenda Google - taxa fixa"
"Google Checkout Shipping - Merchant Calculated","Finalizar Encomenda Google - Comerciante"
"Google Checkout: %s","Finalizar Encomenda com o Google: %s"
"Google Order Number: %s","Número Encomenda Google: %s"
"Google Refund:","Reembolso Google:"
"Google Risk Information:","Informação de Riso Google:"
"Google order status change:","O estado da encomenda no Google Alterou-se:"
"Hide Cart Contents During Checkout","Ocultar o conteúdo do carrinho durante a Finalização da Encomenda"
"IP Address: %s","Endereço IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se activo, o conteúdo do carrinho de compras será ocultado depois de clicar no botão Google Checkout, e mostrado novamente se o link ""Editar Carrinho"" estiver activo"
"Invoice auto-created: %s","Factura gerada automaticamente: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","O cliente está disposto a receber emails de Marketing: %s"
"Large - %s","Grande - %s"
"Latest Charge: %s","Última Cobrança: %s"
"Latest Refund: %s","Último Reembolso: %s"
"Location","Localização"
"Medium - %s","Médio - %s"
"Merchant ID","ID Comerciante"
"Merchant Key","Chave Comerciante"
"Method","Método"
"New order status","Estado da nova encomenda"
"No","Não"
"Optional, leave empty for home page.","Opcional. Deixe em branco para a Página Principal"
"Rate 1 Amount","Taxa 1 Montante"
"Rate 1 Ship To Applicable Countries","Taxa 1 Envio para países Aplicáveis"
"Rate 1 Ship to Specific Countries","Taxa 1 Envio para Países Específicos"
"Rate 1 Title","Taxa 1 Título"
"Rate 2 Amount","Taxa 2 Montante"
"Rate 2 Ship To Applicable Countries","Taxa 2 Envio para países Aplicáveis"
"Rate 2 Ship to Specific Countries","Taxa 2 Envio para Países Específicos"
"Rate 2 Title","Taxa 2 Título"
"Rate 3 Amount","Taxa 3 Montante"
"Rate 3 Ship To Applicable Countries","Taxa 3 Envio para países Aplicáveis"
"Rate 3 Ship to Specific Countries","Taxa 3 Envio para países Específicos"
"Rate 3 Title","Taxa 3 Título"
"Remove","Remover"
"Required for live Google Checkout transactions.","Obrigatório para transacções imediatas com o Google Checkout."
"Sandbox","Local de Testes"
"Secure Callback URL","URL segura para Callback"
"Small - %s","Pequeno - %s"
"Total Charged: %s","Total Cobrado: %s"
"Total Refunded: %s","Total Reembolsado: %s"
"Transparent","Transparente"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Virtual item to reflect discount total","Item virtual para reflectir o desconto total"
"White Background","Fundo Branco"
"You will be redirected to GoogleCheckout in a few seconds.","Será redireccionado para o GoogleCheckout dentro de poucos segundos"
