"-- Please Select --","-- Por Favor Seleccione --"
"Account Registration","Registo de Conta"
"All fields of script types have to be filled.","Todos os campos de tipos de scripts tem que ser preenchidos"
"Attributes","Atributos"
"Category View Optimization","Optimização da vista de categoria"
"Control Script","Script de Controlo"
"Conversion Page","Página de Conversão"
"Conversion Page URL","Url da página de conversão"
"Conversion Script","Script de Conversão"
"Enable","Activo"
"Google Optimizer Scripts","Scripts de optimização Google"
"Google Website Optimizer","Optimizador de sites Google"
"Install Scripts","Scripts de instalação"
"Limit is 8 attributes only.","O limite é de apenas 8 atributos."
"Multi Address Checkout","Finalização com múltiplos-endereços"
"One Page Checkout","Finalizar encomenda numa página apenas"
"Order Success (Multi Address Checkout)","Sucesso Encomenda (Finalização com múltiplos-endereços)"
"Order Success (One Page Checkout)","Sucesso Encomenda (Finalização numa única página )"
"Original Page","Página original"
"Other","Outra"
"Page Type","Tipo Página"
"Page View Optimization","Optimização da visualização da página"
"Please copy and paste this value to experiment edit form","Por favor copie e cole este valor para experimentar o formulário de edição"
"Please select store view to see the URL","Por favor seleccione a Vista de Loja para visualizar a URL"
"Product View Optimization","Optimização da visualização do Produto"
"Scripts Install URL","Url scripts de instalação"
"Shopping Cart","Carrinho de Compras"
"Tracking Script","Script de monitorização"
"Use Default","Utilizar por omissão"
"Use Default Values","Utilizar valores por omissão"
"Variant Page","Página variável"
