"API Login ID","ID início sessão API"
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e proceder"
"Authorize.net","Authorize.net"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação Cartão de Crédito"
"Debug","Depuração"
"Email customer","Email do cliente"
"Enabled","Activo"
"Error in authorizing the payment","Erro ao autorizar o pagamento"
"Error in capturing the payment","Erro ao proceder ao pagamento"
"Error in payment gateway","Erro ao processar pagamento (no gateway)"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Error in refunding the payment.","Erro ao reembolsar o pagamento."
"Error in retrieving the transaction","Erro ao receber transação"
"Fraud order status","Estado de encomendas Fraudulentas"
"Gateway request error: %s","Erro de pedido ao Gateway: %s"
"Invalid amount for authorization","Montante inválido para autorização"
"Invalid amount for authorization.","Montante inválido para autorização."
"Invalid transaction id","Id de transação inválido"
"Maximum Order Total","Montante Máximo de Encomenda"
"Merchant Login","Início Sessão Comerciante"
"Merchant's email","Email do Comerciante"
"Minimum Order Total","Montante Mínimo de Encomenda"
"New order status","Estado da nova encomenda"
"Partner","Parceiro"
"Password","Palavra-passe"
"Payflow Pro","Payflow Pro"
"Payment Action","Acção Pagamento"
"Payment authorization error.","Erro na autorização de pagamento"
"Payment authorization transaction has been declined.","A autorização de pagamento da transacção foi recusado"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","pagamento permitido aos países"
"Proxy Host","Servidor Proxy"
"Proxy Port","Porta Proxy"
"Sort order","Ordem Apresentação"
"TENDER","ENCARREGADO"
"Test mode","Modo de Teste"
"Title","Título"
"Transaction key","Chave de Transacção"
"URL","Url"
"Use Proxy","Usar Proxy"
"User","Utilizador"
"VERBOSITY","VERBOSITY"
"Voided transaction","Transacção anulada"
