"Abandoned carts","Carrinhos abandonados"
"Action","Acção"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Applied Coupon","Cupão Aplicado"
"Avg. approved rating","Média de classificação aprovada"
"Avg. rating","Classificação média"
"Bestsellers","Mais vendidos"
"Bought from wishlists","Comprada de Listas de Presentes"
"CSV","CSV"
"Carrier/Method","Transportador/Método"
"Carts","Carrinhos"
"Coupons","Cupões"
"Created at","Criado a"
"Customer","Cliente"
"Customer Name","Nome do Cliente"
"Customer Tags","Etiquetas do Cliente"
"Customers","Clientes"
"Customers Report","Relatório de Clientes"
"Customers Reviews","Análises dos clientes"
"Customers Tags","Etiquetas dos clientes"
"Customers by number of orders","Clientes pelo número de encomendas"
"Customers by orders total","Clientes pelo total encomendas"
"Customers that have wishlist: %s%","Clientes com Lista de Presentes: %s%"
"Day","Dia"
"Default Recently Compared Products count","Número de Produtos Recentemente Comparados por Omissão"
"Default Recently Viewed Products count","Número de Produtos Recentemente Visualizados por Omissão"
"Detail","Detalhe"
"Discounts","Descontos"
"Downloads","Descargas"
"Email","Email"
"Excel","Excel"
"First Name","Primeiro Nome"
"Guest","Convidado"
"Hits","Acessos"
"ID","ID"
"Invalid date specified","Data inválida especificada"
"Invoiced","Facturado"
"Items Ordered","Itens encomendados"
"Items in Cart","Itens no carrinho"
"Last Name","Apelido"
"Last Review","Última análise"
"Link","Ligação"
"Low stock","Disponibilidade baixa"
"Month","M&ecirc;s"
"Most Viewed","Mais Vistos"
"Most viewed","Mais Vistos"
"Name","Nome"
"New Accounts","Novas Contas"
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Historical Uses","Número Histórico  de Usos"
"Number Of Reviews","Número de Análises"
"Number Of Uses","Número de utilizações"
"Number Purchased","Quantidade comprada"
"Number Viewed","Número Visto"
"Number of Items","Número de Itens"
"Number of Ivoiced Orders","Número de encomendas facturadas"
"Number of New Accounts","Número de Novas Contas"
"Number of Orders","Número de Encomendas"
"Number of Refunded Orders","Número de encomendas devolvidas"
"Number of Reviews","Número de Análises"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number of Views","Número de Visualizações"
"Number of items bought from a wishlist: %s","Número de itens comprados de uma lista de presentes: %s"
"Number of times deleted","Número de remoções"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a Lista de Presente foi partilhada (envio por email): %s"
"Number of wishlist conversions: %s","Número de conversões da Lista de Presentes: %s"
"Number of wishlist referrals: %s","Número de refer&ecirc;ncias da Lista de Presentes: %s"
"Number of wishlists: %s","Número de listas de presentes: %s"
"Offline Refunded","Reembolso offline"
"Online Refunded","Reembolso online"
"Orders","Encomendas"
"Out of stock","Esgotado"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do Produto"
"Product Reviews","Análises ao produto"
"Product Sku","SKU do produto"
"Product Tags","Etiquetas de Produtos"
"Products","Produtos"
"Products Report","Relatório de Produtos"
"Products Reviews","Análises de produtos"
"Products Sold","Produtos Vendidos"
"Products Tags","Etiquetas de produtos"
"Products in carts","Produtos em carrinhos"
"Purchases","Compras"
"Quantity Ordered","Quantidade encomendada"
"Quantity of Items","Quantidade de itens"
"Rate","Taxa"
"Recently Compared Products","Produtos recentemente comparados"
"Recently Viewed Products","Produtos Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos recentemente vistos/comparados"
"Refunded","Reembolsado"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Rendimento"
"Review","Análise"
"Reviews","Análises"
"Reviews for %s","Análises para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Terms","Termos de pesquisa "
"Shipping","Envio"
"Shopping Cart","Carrinho de Compras"
"Show for Current","Mostrar para actual"
"Stock Qty","Quantidade disponível"
"Submitted In","Enviado em"
"Submitted On","Submetido Em"
"Subtotal","Sub-total"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalhes da etiqueta ""%s"""
"Tag Detail","Detalhes da Etiqueta"
"Tag Name","Nome da etiqueta"
"Tag use","Utilização da etiqueta"
"Tags submited by %s","Etiquetas submetidas por %s"
"Tags submitted to %s","Etiquetas submetidas para %s"
"Tax","Imposto"
"Tax Amount","Valor Imposto"
"Title","Título"
"Total","Total"
"Total Invoiced","Total Facturado"
"Total Invoiced Captured","Total Factura cobrado"
"Total Invoiced not Captured","Total Factura por cobrar"
"Total Refunded","Total Reembolso"
"Total Shipping","Total Envio"
"Total Tags","Total de Etiquetas"
"Total invoiced","Total Facturado"
"Total refunded","Total Reembolso"
"Updated at","Actualizado em"
"Visible In","Visível em"
"Wishlist Report","Relatório da Lista de Presentes"
"Wishlist vs. Regular Order","Lista de Presentes Vs Encomenda Regular"
"Wishlists","Listas de presentes"
"Year","Ano"
"Your Recently Compared","As suas Recentes Comparações"
"Your Recently Viewed","As suas Recentes Visualizações"
