"%d Review(s)","%s Análises"
"%s Review(s)","%s Análises"
"(Posted on %s)","(Colocado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Adicionar nova análise"
"Add Your Review","Adicionar a sua Análise"
"Administrator","Administrador"
"All Reviews","Todas as análises"
"All reviews of customer `%s`","Todas as análises do cliente '%s'"
"Allow guests to write reviews","Permitir que utilizadores não registados efectuem análises"
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure?","Tem a certeza?"
"Average Customer Rating","Média de classificação dos clientes"
"Average Customer Rating:","Média de classificação dos clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar à página do produto"
"Back to My Reviews","Voltar às Minhas Análises"
"Back to Product Reviews","Voltar às análises ao produto"
"Be the first to review this product","Seja o primeiro a analisar este produto"
"Created On","Criado a"
"Customer","Cliente"
"Customer Reviews","Análises de clientes"
"Delete","Remover"
"Delete Review","Remover Análise"
"Detailed Rating","Classificação Detalhada"
"Edit Review '%s'","Editar Análise '%s'"
"Guest","Convidado"
"How do you rate this product?","Como classifica este produto?"
"ID","ID"
"Manage Ratings","Gerir Classificações"
"My Product Reviews","As minhas análises a produtos"
"My Recent Reviews","As minhas análises recentes"
"Name","Nome"
"Name In Store","Nome na loja"
"New Review","Nova análise"
"Nickname","Nome de utilizador"
"Pending Reviews","Análises Pendentes"
"Pending reviews","Análises Pendentes"
"Pending reviews of customer `%s`","Análises pendentes do cliente '%s'"
"Please select a product","Por favor seleccione o produto"
"Please select one of each of the ratings above","Por favor seleccione uma das classificações acima"
"Posted By","Colocado por"
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product Rating","Classificação do produto"
"Product Rating:","Classificação do produto:"
"Product Review (submitted on %s):","Análise ao produto (submetida a %s)"
"Product Reviews","Análises ao produto"
"Product SKU","SKU do produto"
"Qty","Qt"
"Rating:","Classificação:"
"Review","Análise"
"Review Details","Analisar detalhes"
"Review by %s","Análise por %s"
"Reviews and Ratings","Análises e Classificações"
"SKU","SKU"
"Save Review","Guardar Análise"
"Status","Estado"
"Submit Review","Submeter análise"
"Summary Rating","Sumário da Avaliação"
"Summary of Review","Sumário da Análise"
"Summary of Your Review","Título da sua análise"
"Summary of review","Sumário da Análise"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","Incapaz de adicionar a análise. Por favor tente novamente mais tarde."
"Update status","Actualizar estado"
"View All Reviews","Ver todas as análises"
"View Details","Ver detalhes"
"Visible In","Visível em"
"Websites","Sites"
"Write Your Own Review","Escreva a sua análises"
"You have submitted no reviews.","Ainda não enviou nenhuma análise"
"You're reviewing: %s","Está a analisar: %s"
"Your Rating:","A sua classificação:"
"Your Review (submitted on %s):","A sua análises (enviada a %s):"
"Your review has been accepted for moderation","A sua análise foi aceite para moderação"
"OR","OU"
"My Product Reviews","My Product Reviews"
