"ALL","Todos"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Description: %s","Descrição: %s"
"Expire at: %s","Expira em: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se destas condições são %s:"
"Invalid discount amount.","Montante de desconto inválido."
"MATCHING ALL","CORRESPONDEM TODOS"
"MATCHING ANY","CORRESPONDE QUALQUER"
"NOT MATCHING ALL","NÃO CORRESPONDEM TODOS"
"NOT MATCHING ANY","NÃO CORRESPONDE NENHUM"
"Name: %s","Nome: %s"
"Open Chooser","Abrir Navegador"
"Perform following actions","Realizar as seguintes acções"
"Please choose a condition to add...","Por favor escolha uma condição a adicionar"
"Please choose an action to add...","Por favor escolha uma acção a adicionar..."
"Remove","Remover"
"Start at: %s","Iniciar em: %s"
"TRUE","VERDADEIRO"
"by","por"
"contains","contém"
"does not contain","não contém"
"equals or greater than","maior ou igual que"
"equals or less than","igual ou menos que"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"to","Até"
