" The customer doesn't exist in the system anymore","O Cliente já não existe no sistema"
"""%s"" coupon code is not valid.","""%s"" o código do cupão não é válido"
"%s / %s rate:","Taxa %s / %s:"
"%s for %s","%s por %s"
"%s order(s) successfully canceled","%s encomenda(s) canceladas com sucesso"
"%s order(s) successfully put on hold","%s encomenda(s) correctamente bloqueadas"
"%s order(s) successfully released from holding status","%s encomenda(s) correctamente desbloqueadas"
"* - Enter custom price excluding tax","* - Insira preços personalizado excluindo imposto"
"* - Enter custom price including tax","* - Insira preços personalizado incluindo imposto"
"About This Order:","Sobre Esta Encomenda:"
"About Your Order","Sobre a sua encomenda"
"Account Information","Informação da conta"
"Action","Acção"
"Actions","Acções"
"Add","Adicionar"
"Add Gift Messsage","Adicionar Mensagem de Presente"
"Add New Address","Adicionar Novo Endereço"
"Add Order Comments","Adicionar Comentários Encomenda"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to Option","Adicionar produto(s) seleccionado(s) à Opção"
"Add Selected Product(s) to Order","Adicionar Produto(s) Seleccionado(s) à encomenda"
"Add To Order","Adicionar à encomenda"
"Add Tracking Number","Adicionar Número de Monitorização"
"Add a gift message for <strong>each gift item</strong>","Adicionar uma Mensagem de presente para <strong>para cada item</strong> na encomenda"
"Add a gift message for the <strong>entire order</strong>","Adicionar uma Mensagem de presente para <strong>toda</strong> a encomenda"
"Add comment to order","Adicionar comentário à encomenda"
"Add new comment to shipment","Adicionar novo comentário ao envio"
"Add new tracking number","Adicionar novo número de monitorização"
"Add to Cart","Adicionar ao Carrinho"
"Address","Endereço"
"Adjustment Fee","Montante Ajustamento"
"Adjustment Fee:","Taxa de Ajustamento:"
"Adjustment Refund","Montante de Reembolso"
"Adjustment Refund:","Ajuste Reembolso:"
"Allow Reorder","Permitir re-encomendas"
"Amount","Quantidade"
"Append Comments","Anexar Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Código de Cupão"
"Are you sure you want to cancel this order?","Tem a certeza que deseja cancelar esta encomenda?"
"Are you sure?","Tem a certeza?"
"Are you sure? This order will be cancelled and a new one will be created instead","Tem a certeza? A encomenda será cancelada e será criada uma nova"
"Back to My Orders","Voltar às Minhas Encomendas"
"Backordered","Devolução"
"Bill to First name","Nome de Facuração"
"Bill to Last name","Apelido de Facturação"
"Bill to Name","Facturar para Nome"
"Billing Address","Endereço de Facturação"
"Buy %s for price %s","Compre %s pelo preço %s"
"Can not add order history.","Não foi possível adicionar histórico à encomenda"
"Can not create block ""%s""","Não foi possível criar o bloco ""%s"""
"Can not do invoice for order.","Não foi possível criar a factura"
"Can not do shipment for order.","Não foi possível realizar o envio para esta encomenda"
"Can not register existing creditmemo","Não pode registar uma Nota de Crédito existente"
"Can not register existing invoice","Não pode registar uma factura existente"
"Can not register existing shipment","Não é possível registar o envio existente"
"Can't get order instance","Não foi possível obter a instância da encomenda"
"Cancel","Cancelar"
"Cancel invoice","Cancelar factura"
"Cancel order","Cancelar Encomenda"
"Canceled","Cancelado"
"Cannot create an empty shipment.","Não é possível criar um envio vazio"
"Capture","Cobrar"
"Capture Amount","Montante Cobrar"
"Capture Offline","Capturar Offline"
"Capture Online","Capturar Online"
"Capture invoice","Capturar factura"
"Carrier","Transportador"
"Change Status","Alterar Estado"
"Change status, add comments","Alterar estado, adicionar comentários"
"Checkout totals sort order","Ordem dos totais de confirmação"
"Click to change shipping method","Clique para alterar o método de envio"
"Closed","Fechado"
"Comment","Comentar"
"Comment Text","Comentário"
"Comments","Comentários"
"Comments History","Histórico de Comentários"
"Complete","Finalizado"
"Country","País"
"Coupons","Cupões"
"Create","Criar"
"Create New Customer","Criar novo Cliente"
"Create New Order","Criar nova encomenda"
"Create New Order for %s","Criar Nova Encomenda para %s"
"Create New Order for %s in %s","Criar Nova Encomenda para %s em %s"
"Create New Order for New Customer","Criar Nova Encomenda para Novo Cliente"
"Create New Order for New Customer in %s","Criar Nova Encomenda para Novo Cliente em %s"
"Create Shipment","Criar Envio"
"Create new invoice for order","Criar nova factura para a encomenda"
"Create new shipment for order","Criar novo envio para a encomenda"
"Created At","Criado a"
"Credit Memo","Nota de crédito"
"Credit Memo #","Nota de Crédito"
"Credit Memo # ","Nota de Crédito #"
"Credit Memo Comment Email Sender","Remetente Email comentário à Nota de Crédito"
"Credit Memo Comment Email Template","Template Email comentário à Nota de Crédito"
"Credit Memo Comment Email Template for Guest","Template de email para Comentário à Nota de Crédito para convidados"
"Credit Memo Comments","Comentários Nota de Crédito"
"Credit Memo Email Sender","Remetente do Email para Nota de Crédito"
"Credit Memo Email Template","Template de Email para Nota de Crédito"
"Credit Memo Email Template for Guest","Template de Email da Nota de Crédito para Convidados"
"Credit Memo Update","Nota de Crédito Actualizada"
"Credit Memo Update for Guest","Nota de Crédito Actualizada para Visitante"
"Credit Memo email not sent","Email da Nota de Crédito não enviado"
"Credit Memo email sent","Email da Nota de Crédito enviado"
"Credit Memos","Notas de Crédito"
"Creditmemo","Nota de Crédito"
"Custom Options","Opções personalizadas"
"Custom Price","Preço personalizado"
"Custom Value","Valor personalizado"
"Customer","Cliente"
"Customer Group","Grupo do Cliente"
"Customer Name","Nome do Cliente"
"Customer's Current Activities","Actividades Actuais do Cliente"
"Date","Data"
"Date Shipped","Data envio"
"Date of Birth","Data de nascimento"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logótipo por omissão para ser utilizado em documentos PDF e HTML.<br />(jpeg, tiff, png)"
"Delete","Remover"
"Description message","Mensagem de descrição"
"Discount","Desconto"
"Discount ","Desconto"
"Discount (%s)","Desconto (%s)"
"Discount :","Desconto:"
