" for more information or email us at ","para mais informações envie-nos um email para"
"# of Items (and above)","# de itens (e superiores)"
"# of Items vs. Destination","# de Itens Vs. Destino"
"Allow Shipping to multiple addresses","Permitir envio para múltiplos endereços"
"Calculate Handling Fee","Calcular Taxa de Manuseamento"
"Carrier:","Transportador:"
"City","Cidade"
"Close Window","Fechar janela"
"Condition","Condição"
"Country","País"
"Date","Data"
"Delivered on:","Entregue em:"
"Delivered to:","Entregue a:"
"Description","Descrição"
"Displayed Error Message","Mensagem de erro a mostrar"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")"
"Enabled","Activo"
"Error:","Erro:"
"Export","Exportar"
"Fixed","Fixo"
"Flat Rate","Taxa Fixa"
"Free Shipping","Envio gratuito"
"Handling Fee","Taxa de Manuseamento"
"Import","Importar"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","%s ""%s"" inválido na Linha #%s"
"Invalid Country ""%s"" in the Row #%s","País inválido ""%s"" na Linha #%s"
"Invalid Region/State ""%s"" in the Row #%s","Região/Estado inválido ""%s"" na Linha #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Preço de envio inválido ""%s"" na Linha #%s"
"Invalid Table Rate code for type %s: %s","Código da Tabela de Taxa inválido para o tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código da Tabela de Taxa inválido"
"Invalid Table Rates File Format","Formato da tabela de taxas inválido"
"Local Time","Hora Local"
"Location","Localização"
"Maximum qty allowed for Shipping to multiple addresses","Qt. máxima permitida de envio para múltiplos endereços"
"Method name","Nome método"
"Minimum order amount","Qt. mínima de encomenda"
"N/A","N/D"
"None","NENHUMA"
"Options","Opções"
"Order Subtotal (and above)","Sub-total da encomenda (e acima)"
"Origin","Origem"
"Per Order","Por Encomenda"
"Per Package","Por Pacote"
"Percent","Percentagem"
"Price","Preço"
"Price vs. Destination","Preço Vs. Destino"
"Region/State","Região/Estado"
"Service Type:","Tipo de Serviço:"
"Ship to Specific countries","Enviar para países específicos"
"Ship to applicable countries","Enviar para países aplicáveis"
"Shipment #","Envio #"
"Shipped or billed on:","Enviado ou Facturado em:"
"Shipping Methods","Métodos de Envio"
"Shipping Methods Section","Secção de Métodos de Envio"
"Shipping Settings","Definições de Envio"
"Shipping Settings Section","Secção de Definições de Envio"
"Show method if not applicable","Mostrar método se não aplicável"
"Signed by:","Assinado por:"
"Sort order","Ordem Apresentação"
"Status:","Estado:"
"Store Pickup","Levantamento na Loja"
"Table rates","Tabelas de taxa"
"The shipping module is not available for selected delivery country","O módulo de envio não está disponível para entrega no país seleccionado"
"There is no tracking available for this shipment.","Não existe monitorização disponível para este envio."
"There is no tracking available.","Não existe monitorização disponível"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envio está actualmente indisponível. Se ainda assim desejar utilizar este método de envio, por favor entre em contacto connosco"
"Title","Título"
"Track:","Monitorizar:"
"Tracking Number:","Número Monitorização:"
"Tracking information is currently not available. Please ","Informação de monitorização não está disponível. Por favor"
"Tracking information is currently unavailable.","A Informação de Monitorização está actualmente indisponível"
"Type","Tipo"
"Weight (and above)","Peso (e acima)"
"Weight vs. Destination","Peso Vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","Contacte-nos"
"Shipping Time: 4-8 Calendar Days -","Tempo de entrega: 4-8 Dias do Calendário"
"Shipping Time: 3-5 Calendar Days -","Tempo de entrega: 3-5 Dias do Calendário"
