"%s is not supported currency.","%s não é uma moeda suportada"
"Accept","Aceitar"
"Basic","Básico"
"Cannot retreive rate from strikeirion.","Não foi possível obter informação do strikeirion."
"Cannot retrieve rate from %s to %s","Não foi possível obter a taxa de %s para %s"
"Check all email servers","Verificar todos os servidores de email"
"Complete","Finalizado"
"Country/Region/Postal code combination","Combinação País/Região/Código postal"
"Customer Tax Class","Classe de imposto do cliente"
"Email Verification","Verificação de Email"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","O endereço de email não pode ser verificado. Por favor tente novamente e confirme que inseriu o endereço de email correctamente."
"Enable US address verification","Activar a verificação de endereços EUA"
"Enable email verification","Activar verificação por email"
"Enable foreign exchange rate","Activar conversão de moeda estrangeira"
"Enable global address verification","Activar verificação global de endereço"
"Enable sales and use tax","Activar vendas e utilizar imposto"
"Error Email Recipient","Destinatário Email Erro"
"Error Email Sender","Remetente Email Erro"
"Error Email Template","Template Email de Erro"
"Error address action","Acção do endereço de erro"
"Foreign Exchange Rates","Conversão Moeda Estrangeira"
"Global Address Verification","Verificação global endereço"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se o tipo está completo e o código postal pertence a múltiplas taxas de imposto, escolha cobrar a taxa de imposto máxima ou a taxa de imposto mínima"
"Invalid email address","Endereço de Email inválido"
"Maximum tax rate","Taxa máxima de imposto"
"Minimum tax rate","Taxa mínima de imposto"
"Password","Palavra-passe"
"Pop up warning and accept","Mostrar aviso e aceitar"
"Product Tax Class","Classe de imposto do Produto"
"Reject","Rejeitar"
"Sales and Use Tax","Vendas e utilizar Imposto"
"Sales and Use Tax Type","Vendas e utilizar tipo de imposto"
"Strikeiron","Strikeirion"
"Strikeiron Config","Configuração strikeirion"
"Strikeiron Section","Secção strikeirion"
"Strikeiron foreign exchange rate is disabled","A conversão de moeda estrangeira não está activa no strikeirion"
"Tax","Imposto"
"There is an error in retrieving tax rate. Please contact us","Ocorreu um erro ao obter a taxa de importo. Por favor entre em contacto connosco."
"There is an error in verifying an email. Please contact us.","Ocorreu um erro ao obter a taxa de importo. Por favor entre em contacto connosco."
"There is no more hits remaining for the foreign Exchange Rate Service.","Não existem mais hits para o Serviço de Conversão Imposto estrangeiro"
"There is no response back from Strikeiron server","Não existe resposta do servidor Strikeiron"
"US Address Verification","Verificação Endereço EUA"
"Undetermined email action","Acção de email indeterminada"
"Use","Utilizar"
"User ID","ID do Utilizador"
"Verify address in admin","Verificar endereço na administração"
"Verify email in admin","Verificar email na administração"
