image,gallimg,typecsvname,store,websites,attribute_set,type,category_ids,sku,options_container,is_imported,has_options,name,url_key,meta_title,meta_description,gender,small_image,thumbnail,url_path,price,special_price,weight,meta_keyword,description,short_description,special_from_date,news_from_date,news_to_date,status,visibility,tax_class_id,qty,is_in_stock,store_id,Color:drop_down:10:1,Size:drop_down:20:1,attributes
B0192JCTG2_71J50c7aFJL_UL1500_.jpg,B0192JCTG2_71J50c7aFJL_UL1500_.jpg;B0192JCTG2_81Y71fQ2uFL_UL1500_.jpg;B0192JCTG2_914GmYuNbVL_UL1500_.jpg;B0192JCTG2_91QEagLWqwL_UL1500_.jpg;B0192JCTG2_71VucRISJZL_UL1500_.jpg;B0192JCTG2_618An6qQNWL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60224,Product Info Column,Yes,1,Timeson Womens Long Sleeve Knitted Panel Hooded Casual Sweatshirt,,Timeson Womens Long Sleeve Knitted Panel Hooded Casual Sweatshirt,,,B0192JCTG2_71J50c7aFJL_UL1500_.jpg,B0192JCTG2_71J50c7aFJL_UL1500_.jpg,,77,9,1000,,"Fabric: #31- 10% Cotton 30% Polyurethane (Spandex) 60% Polyester #06 - Fabric: 40% Cotton 60% Polyurethane (Spandex) Garment Care: Machine Washable(Recommended Hand Wash) Timeson's pullover sweater, styled with an attached hood and kangroo pocket, makes the perfect top layer for cool days and chilly breezes Featuring lightweight and soft material, this casual pullover hoodie sweater is easy to wear with your favorite jeans, leggings and more Please check the size information under the Product Description before ordering, rather than the ""size chart"" beside the drop down box",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Zipper;Silhouette:Ball Gown;Sleeve:Long Sleeves;Neckline:Bateau;Embellishment:Lace;Hemline/Train:Sweep/Brush Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B01MDK1YU6_718UUH7qhnL_UL1500_.jpg,B01MDK1YU6_718UUH7qhnL_UL1500_.jpg;B01MDK1YU6_71YZM2Nc8ZL_UL1500_.jpg;B01MDK1YU6_7141NEhXLvL_UL1500_.jpg;B01MDK1YU6_71Uz2BTAr0cL_UL1500_.jpg;B01MDK1YU6_71qeXgwQTDL_UL1500_.jpg;B01MDK1YU6_81DumNfc2BCL_UL1500_.jpg;B01MDK1YU6_71su3yBS4LL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60230,Product Info Column,Yes,1,Zeagoo Women's Long Sleeve Side Zip Funnel Neck Pullover Tunic Hoodie Sweatshirt Outerwear Tops,,Zeagoo Women's Long Sleeve Side Zip Funnel Neck Pullover Tunic Hoodie Sweatshirt Outerwear Tops,,,B01MDK1YU6_718UUH7qhnL_UL1500_.jpg,B01MDK1YU6_718UUH7qhnL_UL1500_.jpg,,94.99,26.99,1000,,"Pull On closure Material: 60% Polyester and 40% Cotton.Warm enough in Spring and Fall.Fabric is neither too thin nor too thick or heavy. Pull on closure with zipper and buttons,front with kangaroo pocket.Unique design of ruched necklink with buttons. Pullover hoodie, Funnel neck, High collar, Lightweight, Adjustable drawstring hood, Kangraoo pockets, Casual style. This Casual Pullover Hoodie Sweatshirt is Easy to Wear with Your Favorite Jeans, Leggings etc. Please check product description before ordering to ensure accurate fitting",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Ball Gown;Sleeve:Sleeveless;Neckline:Bateau;Embellishment:Applique;Hemline/Train:Chapel Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B00X8TE83K_51LBT5QR7ZL_UL1500_.jpg,B00X8TE83K_51LBT5QR7ZL_UL1500_.jpg;B00X8TE83K_51I2Bqi6yAiL_UL1500_.jpg;B00X8TE83K_510VB3wzMYL_UL1500_.jpg;B00X8TE83K_51-UEdAQFgL_UL1500_.jpg;B00X8TE83K_716KoZMSv8L_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60236,Product Info Column,Yes,1,Women's Handkerchief Uneven Hem Jersey Knit Comfy Midi Skirt USA,,Women's Handkerchief Uneven Hem Jersey Knit Comfy Midi Skirt USA,,,B00X8TE83K_51LBT5QR7ZL_UL1500_.jpg,B00X8TE83K_51LBT5QR7ZL_UL1500_.jpg,,92,24,1000,,"100% Rayon Lightweight Super Soft Rayon Fabric Made in USA Women comfy trendy handkerchief uneven flare midi skirt. Features an elasticized waistline and raw hem. It's made of a super soft jersey knit material providing great stretch for comfort. These skirts are unlined. Hand Wash Cold. Do Not Bleach. Hang Dry. Do Not Iron. Please check the size chart: Small-Waist:26"" Length:37â, Medium-Waist:28"" Length:38â, Large-Waist:30"" Length: 39â.",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Trumpet/Mermaid;Sleeve:Sleeveless;Neckline:Straps;Embellishment:Ruched;Hemline/Train:Court Train;Fabric:Chiffon;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
/_813yjlXCtqL_UL1500_.jpg,/_813yjlXCtqL_UL1500_.jpg;/_81me3JsN0UL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60242,Product Info Column,Yes,1,Champion Women's French Terry Jogger,,Champion Women's French Terry Jogger,,,/_813yjlXCtqL_UL1500_.jpg,/_813yjlXCtqL_UL1500_.jpg,,107.99,39.99,1000,,"Body: 43% Rayon, 43% Polyester, 14% Cotton; Rib: 59% Rayon, 39% Polyester, 2% Spandex Imported Machine Wash Lightweight French terry fabrication Tapered leg with ribbed cuffs for a modern look Contrast draw cord for adjustability On-seam pockets for storage Relaxed fit",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Zipper;Silhouette:Ball Gown;Sleeve:Long Sleeves;Neckline:Bateau;Embellishment:Lace;Hemline/Train:Sweep/Brush Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B0181ZNYIK_61Nex2yyIZL_UL1500_.jpg,B0181ZNYIK_61Nex2yyIZL_UL1500_.jpg;B0181ZNYIK_7143Qz2B66ZL_UL1500_.jpg;B0181ZNYIK_715Dcly9RgL_UL1500_.jpg;B0181ZNYIK_812wIVfFAoL_UL1500_.jpg;B0181ZNYIK_71XkqIqF7UL_UL1500_.jpg;B0181ZNYIK_61-bE0aoOiL_UL1500_.jpg;B0181ZNYIK_61ukQUau1PL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60248,Product Info Column,Yes,1,ZANZEA Women's Sexy Long Batwing Sleeve Loose Pullover Casual Top Blouse T-Shirt,,ZANZEA Women's Sexy Long Batwing Sleeve Loose Pullover Casual Top Blouse T-Shirt,,,B0181ZNYIK_61Nex2yyIZL_UL1500_.jpg,B0181ZNYIK_61Nex2yyIZL_UL1500_.jpg,,82.98,14.98,1000,,"Please Refer To The Size Details Before You Purchase.( 2cm/1 inch Inaccuracy May Exist Due To Hand Measure.) There have 6 size and 15 color you can choose,enough to meet different body and different styles, our size is Asian size,each ASIAN Size Corresponding US size: US 6-ASIAN S,US 8 = ASIAN M,US 10 = ASIAN L, US 12 = ASIAN XL, US 14-16=ASIAN 2XL, US 18-20 = ASIAN 3XL. Color: Beige, Black, Blue, Brown, Green, Gray, Orange, Red, White,Army Green,Navy,.Rose,Wine Red,Purple,Coffee ZANZEA Long Batwing Sleeve Loose Pullover Casual tops is perfect for Autumn/ Spring .Very comfortable and soft for a casual day .With O-neck and applique decoration,this loose batwing pullover shirt make you look beautiful and cute Loose, Baggy, Oversized Tunic Tops Ideal To Pair With Jeans, Leggings Or Trousers/Or it still looks cute with a camisole or Basic Tank Tops underneath too./Asymmetric Design,Elegant Top Blouse To Show Off your Charming Curves./New For This Season, An Essential For Every Fashion Women Or Girl Select Material, Suitable For Beach,Cocktail,Party,Club,Or Just Daily Wear",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Ball Gown;Sleeve:Sleeveless;Neckline:Bateau;Embellishment:Applique;Hemline/Train:Chapel Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B010JI1CR2_61IzxUW6LoL_UL1500_.jpg,B010JI1CR2_61IzxUW6LoL_UL1500_.jpg;B010JI1CR2_613qcDDprFL_UL1500_.jpg;B010JI1CR2_61XRfT-UbHL_UL1500_.jpg;B010JI1CR2_61h-9f-hTYL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60254,Product Info Column,Yes,1,AvaCostume Chiffon Tiered High Side Slit Maxi Skirt for Belly Dance,,AvaCostume Chiffon Tiered High Side Slit Maxi Skirt for Belly Dance,,,B010JI1CR2_61IzxUW6LoL_UL1500_.jpg,B010JI1CR2_61IzxUW6LoL_UL1500_.jpg,,86.79,$18.79 ,1000,,"All veils are made of chiffon Including skirt only Reversible skirt, Double sides split skirt Perfect for Belly dance, Performance, Casual beach, Cocktail party etc. Please find the matched top or shoes in our stores",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Trumpet/Mermaid;Sleeve:Sleeveless;Neckline:Straps;Embellishment:Ruched;Hemline/Train:Court Train;Fabric:Chiffon;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B01N4EN4QA_61Dz26IB2PL_UL1500_.jpg,B01N4EN4QA_61Dz26IB2PL_UL1500_.jpg;B01N4EN4QA_71TeSVF5XxL_UL1500_.jpg;B01N4EN4QA_81GLMRrrLmL_UL1500_.jpg;B01N4EN4QA_81hLwa2BUGfL_UL1500_.jpg;B01N4EN4QA_71FNZbsnPNL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60260,Product Info Column,Yes,1,HARHAY Women's Cotton Knitted Long Sleeve Lightweight Tunic Sweatshirt Tops,,HARHAY Women's Cotton Knitted Long Sleeve Lightweight Tunic Sweatshirt Tops,,,B01N4EN4QA_61Dz26IB2PL_UL1500_.jpg,B01N4EN4QA_61Dz26IB2PL_UL1500_.jpg,,84.99,16.99,1000,,"Material:35? cotton 65% polyester+Knitted HARHAY Women's Cotton Knitted Long Sleeve Lightweight Tunic Sweatshirt Tops Round neck,long sleeve, soft material,long length,can be worn with leggings, high heels,boots etc. Machine or hand wash, do not bleach Please allow a little error due to measurement method is different.",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Zipper;Silhouette:Ball Gown;Sleeve:Long Sleeves;Neckline:Bateau;Embellishment:Lace;Hemline/Train:Sweep/Brush Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B01HTDE6XW_51j-T78udvL_UL1500_.jpg,B01HTDE6XW_51j-T78udvL_UL1500_.jpg;B01HTDE6XW_51D2BpQMlcTL_UL1500_.jpg;B01HTDE6XW_51uFq59xVpL_UL1500_.jpg;B01HTDE6XW_61JatoeRYRL_UL1500_.jpg;B01HTDE6XW_81427Ne0gxL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60266,Product Info Column,Yes,1,Speerise Long Sleeve Adult Ballet Dance Leotards for Women,,Speerise Long Sleeve Adult Ballet Dance Leotards for Women,,,B01HTDE6XW_51j-T78udvL_UL1500_.jpg,B01HTDE6XW_51j-T78udvL_UL1500_.jpg,,92.99,24.99,1000,,"82% Nylon/18% Spandex A ballet cut leg line High neck leotard,zipper back Great for class, performances or costumes Hand wash in cold water, hang dry The model is our co-worker, wear S, tops 62""",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Ball Gown;Sleeve:Sleeveless;Neckline:Bateau;Embellishment:Applique;Hemline/Train:Chapel Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B072121RP4_51L0XGitnbL_UL1500_.jpg,B072121RP4_51L0XGitnbL_UL1500_.jpg;B072121RP4_6162StJ3DhL_UL1500_.jpg;B072121RP4_612yJoGJSbL_UL1500_.jpg;B072121RP4_61k4voZvQ9L_UL1500_.jpg;B072121RP4_61BpauHKNGL_UL1500_.jpg;B072121RP4_61ROU-JsbHL_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60272,Product Info Column,Yes,1,NAKOKOU Latin Dance Skirt Square Dance Tango Swing Rumba ChaCha Ballroom Costume,,NAKOKOU Latin Dance Skirt Square Dance Tango Swing Rumba ChaCha Ballroom Costume,,,B072121RP4_51L0XGitnbL_UL1500_.jpg,B072121RP4_51L0XGitnbL_UL1500_.jpg,,93.99,$25.99 ,1000,,"Size smaller than Amazon size chart. Please refer to following size details before ordering. Great For Latin Tango Cha Cha Ballroom Modern Waltz Foxtrot Show Case, Practise & Performance,Standard Ballroom Dance Quality,fashion design,fine Workmanship. Milk silk fabric, soft skin-friendly, breathable fresh, natural antibacterial Made in comfortable stretchy fabric .",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Other;Silhouette:Trumpet/Mermaid;Sleeve:Sleeveless;Neckline:Straps;Embellishment:Ruched;Hemline/Train:Court Train;Fabric:Chiffon;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
B075388TJV_51SWfwPVrIL_UL1500_.jpg;B075388TJV_61mbOYk5C6L_UL1500_.jpg,B075388TJV_51SWfwPVrIL_UL1500_.jpg;B075388TJV_61mbOYk5C6L_UL1500_.jpg,Clothes,admin,base,Clothes,simple,2,60278,Product Info Column,Yes,1,Kisscy Women's Funnel Neck Pouch Pocket Contrast Color Fleeces Hoodies Sweatshirts,,Kisscy Women's Funnel Neck Pouch Pocket Contrast Color Fleeces Hoodies Sweatshirts,,,B075388TJV_51SWfwPVrIL_UL1500_.jpg;B075388TJV_61mbOYk5C6L_UL1500_.jpg,B075388TJV_51SWfwPVrIL_UL1500_.jpg;B075388TJV_61mbOYk5C6L_UL1500_.jpg,,90.99,22.99,1000,,"Material:Cotton Blended. Thicken,Warm,Fleeces Inside. Funnel Neck with Drawstring. Pouch Pocket Front.Contrast Color. Casual,Active Style. Easy to Match Your Skinny Jeans,Leggings,Pants. Relaxed Fitted,Figure Flattering Shape. Machine Washable.",,,2015/12/10 13:23,,Enabled,"Catalog, Search",None,1000,1,0,Show as picture:fixed:0.00:1||Ivory:fixed:0.00:2||Champagne:fixed:0.00:3||Pink:fixed:0.00:4||White:fixed:0.00:5,US2-UK6-EUR32:fixed:0.00:1||US4-UK8-EUR34:fixed:0.00:2||US6-UK10-EUR36:fixed:0.00:3||US8-UK12-EUR38:fixed:0.00:4||US10-UK14-EUR40:fixed:0.00:5||US12-UK16-EUR42:fixed:0.00:6||US14-UK18-EUR44:fixed:0.00:7||US16-UK20-EUR46:fixed:0.00:8||US14W-UK18-EUR44:fixed:0.00:9||US16W-UK20-EUR46:fixed:0.00:10||US18W-UK22-EUR48:fixed:0.00:11||US20W-UK24-EUR50:fixed:0.00:12||US22W-UK26-EUR52:fixed:0.00:13||US24W-UK28-EUR54:fixed:0.00:14||US26W-UK30-EUR56:fixed:0.00:15||Custom Size:fixed:0.00:16,"Waist:Empire;Back Style:Zipper;Silhouette:Ball Gown;Sleeve:Long Sleeves;Neckline:Bateau;Embellishment:Lace;Hemline/Train:Sweep/Brush Train;Fabric:Net;Shown Color:Ivory;Models:Karina;Season:Spring,Summer,Fall,Winter"
